dataset,frac_hh_mean,frac_hh_std,frac_hl_mean,frac_hl_std,regionality_mean,regionality_std
breast_cancer,0.014035087719298244,0.02621814242276011,0.0,0.0,1.0,0.0
compas,0.06008316008316008,0.038115808108030495,0.017671517671517672,0.00685452073225123,0.7210046663310699,0.14050395334484478
german,0.013500000000000002,0.01106797181058933,0.0205,0.012122064363978788,0.3530663780663781,0.21897197139255617
