dataset,n_runs,mean_variance_mean,mean_variance_std,ambiguity_mean,ambiguity_std,disagreement_rate_mean,disagreement_rate_std,discrepancy_mean,discrepancy_std,mean_conflict_mean,mean_conflict_std,frac_conflict_gt0_mean,frac_conflict_ge025_mean,moran_i_mean,moran_i_std,n_test_mean,n_test_std,n_hh_mean,n_hh_std,hh_rate_mean,hh_rate_std,n_ll_mean,n_ll_std,conflict_moran_i_mean,conflict_n_hh_mean,conflict_n_hh_std,conflict_hh_rate_mean,conflict_hh_rate_std,hh_jaccard_var_conflict_mean,hh_jaccard_var_conflict_std,frac_significant_moran,frac_significant_hh,null_mean,null_std,null_n_hh_mean
compas,10,0.001308137903988396,0.000305678886437794,0.12491369277146028,0.012912765099850482,0.2552314622314623,0.06010061908826321,0.0651035616214106,0.00736558493841668,0.03544005544005544,0.006968305659320561,0.1794871794871795,0.05911295911295911,0.1992790458558252,0.07722703460343348,1443.0,0.0,86.7,55.00111109988799,0.06008316008316008,0.03811580810803049,553.8,43.070484866862905,0.17176931556323033,107.9,24.200321393641772,0.07477477477477477,0.016770839496633244,0.05532581879020948,0.052109669378222506,1.0,1.0,-0.0003377195288288675,0.006227257745933451,0.0
german,10,0.005023214283659764,0.0021289668448074427,0.2448893495214326,0.0672902247560211,0.4537133333333333,0.15563672362505174,0.1377053678160005,0.03256296091193637,0.05928,0.02191989456584538,0.30050000000000004,0.09849999999999999,0.10415478446159013,0.03969504905166441,200.0,0.0,2.7,2.213594362117866,0.013500000000000002,0.011067971810589326,36.9,18.082834094491076,0.052491074284554906,0.5,0.8498365855987975,0.0025,0.004249182927993987,0.21428571428571427,0.41649656391752143,1.0,0.7,-0.005480941908170528,0.014561587144110535,0.0
adult,10,0.0013830996661781075,0.00013251134603268534,0.09614235008491723,0.006347022223835649,0.14233944108915958,0.01146672440950374,0.05261659630558404,0.00662029560538306,0.017210768758317126,0.0010785206264144844,0.09539359197461357,0.027454191831303106,0.07035752442888292,0.020313616800320317,9769.0,0.0,286.1,125.53304124589847,0.02928651857917904,0.0128501424143616,4136.8,190.9367550903818,0.1228820011860295,526.7,51.654944906885085,0.053915446821578464,0.005287638950443759,0.1042593100613122,0.04582233304415889,1.0,1.0,-7.309093725351307e-05,0.0016126281147540438,0.0
