dataset,family,n_runs,mean_variance_mean,mean_variance_std,moran_i_mean,moran_i_std,n_hh_mean,n_hh_std,frac_significant_moran
german,GBM,10,0.007108161467769322,0.0011917919419078989,0.09784342999841869,0.025949989543559475,4.5,5.233439489369194,1.0
german,LogReg,10,0.002121059847830263,0.0012829267274966913,0.0433022745286494,0.021204213879787832,0.0,0.0,0.9
german,MLP,10,0.00931657466268496,0.00254571297936449,0.15700802526898347,0.04113544543326917,13.1,8.143845665422583,1.0
german,RF,10,0.0021229445025067,0.0008027401432396673,0.041620949817892716,0.03322395640076864,2.3,4.8545511292669135,0.6
german,kNN,10,0.005646433320364327,0.0014567811323180767,0.04804421691222129,0.020020576187631412,1.5,1.4337208778404378,1.0
