dataset,quadrant,n_runs,count_mean,count_std,fraction_mean,fraction_std,mean_var_p_mean,mean_var_p_std,mean_conflict_mean,mean_conflict_std,var_quantile,conflict_quantile
german,A,10,7.8,2.0976176963403033,0.039,0.010488088481701515,0.01632790372975534,0.006914119564889647,0.33942222222222224,0.10881868532618495,0.9,0.9
german,B,10,12.2,2.097617696340303,0.060999999999999985,0.010488088481701515,0.01493866988150539,0.00631735254826295,0.08120699300699301,0.04425409024027271,0.9,0.9
german,C,10,13.8,2.250925735484551,0.06899999999999999,0.011254628677422756,0.0069383251782908035,0.003270807914709487,0.34976752365281777,0.10990790286884698,0.9,0.9
german,D,10,166.2,2.250925735484551,0.8310000000000001,0.011254628677422763,0.003611124531567036,0.001600459952100577,0.020299460589044308,0.010101312415924874,0.9,0.9
