outer_seed,quadrant_var_thresh,quadrant_conflict_thresh
0,0.0015183291419056672,0.040000000000000036
1,0.0033231946432705148,0.16000000000000003
2,0.0017140248295940091,0.040000000000000036
3,0.001947412322535902,0.19999999999999996
4,0.0025708028451426543,0.12
5,0.002639967048442948,0.12
6,0.002906546373245006,0.12
7,0.0032752347799849175,0.16000000000000003
8,0.0027837909423836116,0.2
9,0.002005848022364908,0.12
