dataset,quadrant,n_runs,count_mean,count_std,fraction_mean,fraction_std,mean_var_p_mean,mean_var_p_std,mean_conflict_mean,mean_conflict_std,error_rate_mean,error_rate_std,brier_mean,brier_std,var_quantile,conflict_quantile
compas,A,10,33.9,8.17108723895827,0.023492723492723494,0.0056625691191672005,0.006792518806321092,0.0017240843386252917,0.29016142082725405,0.05730161257491848,0.4248016727360434,0.04627316848809288,0.2373468236372409,0.007974987938285577,0.9,0.9
compas,B,10,111.6,8.085652588244054,0.07733887733887734,0.005603362847015978,0.004275929111485367,0.0011971796184782845,0.01014275669060357,0.0065476011069389006,0.2707466817882056,0.04870185922413077,0.19142063667370177,0.0245122565053931,0.9,0.9
compas,C,10,125.3,9.967168326282268,0.08683298683298685,0.006907254557368167,0.0010603663785936003,0.00033159971802052343,0.2780390576305324,0.05065130077493596,0.4744332554666209,0.05387254866260011,0.2494432839588226,0.0024219244787647217,0.9,0.9
compas,D,10,1172.2,9.93087217832463,0.8123354123354124,0.006882101301680272,0.0008887473597921013,0.0002445223038449567,0.004900117225431919,0.003160699494078375,0.30238974894304793,0.009002661147249473,0.204099521239634,0.004091847145059421,0.9,0.9
