dataset,mean_pval,frac_sig,margin_hh,margin_non_hh
adult,5.140724603917442e-60,1.0,0.1996946675858699,0.38226146806267364
compas,0.5315471510819056,0.4,0.1877914024468551,0.17833527708610708
german,0.08000120220197812,0.7142857142857143,0.14104089766876687,0.2591211974677135
