dataset,pearson_r_mean,pearson_r_std,spearman_r_mean,spearman_r_std,margin_hh_mean,margin_hh_std,margin_non_hh_mean,margin_non_hh_std,margin_hv_mean,margin_non_hv_mean
adult,-0.3316743370789925,0.03904391797791219,-0.8886156997304449,0.017554711837118417,0.19969466758586993,0.009780460038568747,0.38226146806267364,0.005194601546520536,0.19633142375288948,0.3895085805267416
compas,-0.04335203422114377,0.09106224899669928,-0.07419903696394345,0.17510835421926157,0.1877914024468551,0.04391927683153158,0.17833527708610708,0.0048191546884659,0.17216885329042347,0.17824222971073295
german,-0.5561646048643667,0.13185216153885204,-0.6954089852246307,0.10349458264004616,0.12968257471943184,0.05281984018118394,0.25949338681308737,0.018379017449020135,0.1357607391905785,0.2694572600512668
