dataset,seed,tau,n_conflict_hh,conflict_moran_i,jaccard
adult,0,"J(0.3,0.5)",,,0.055765595463137994
adult,0,"J(0.3,0.7)",,,0.014285714285714285
adult,0,"J(0.5,0.7)",,,0.05845511482254697
adult,1,0.3,634.0,0.11733299276778493,
adult,1,0.5,529.0,0.12404528310786367,
adult,1,0.7,533.0,0.14306918086530304,
adult,1,"J(0.3,0.5)",,,0.05248868778280543
adult,1,"J(0.3,0.7)",,,0.00516795865633075
adult,1,"J(0.5,0.7)",,,0.059880239520958084
adult,2,0.3,582.0,0.09800249832044974,
adult,2,0.5,592.0,0.13377502683934428,
adult,2,0.7,571.0,0.1795289251335625,
adult,2,"J(0.3,0.5)",,,0.05480682839173405
adult,2,"J(0.3,0.7)",,,0.0052310374891020054
adult,2,"J(0.5,0.7)",,,0.06795224977043159
adult,3,0.3,584.0,0.10027656610594844,
adult,3,0.5,583.0,0.13523522034563534,
adult,3,0.7,550.0,0.14451637464575415,
adult,3,"J(0.3,0.5)",,,0.08659217877094973
adult,3,"J(0.3,0.7)",,,0.017953321364452424
adult,3,"J(0.5,0.7)",,,0.08110687022900763
adult,4,0.3,596.0,0.11107255908923823,
adult,4,0.5,513.0,0.12864790939038104,
adult,4,0.7,556.0,0.19186972274515213,
adult,4,"J(0.3,0.5)",,,0.043273753527751646
adult,4,"J(0.3,0.7)",,,0.00611353711790393
adult,4,"J(0.5,0.7)",,,0.08198380566801619
adult,5,0.3,585.0,0.108568906880367,
adult,5,0.5,489.0,0.1075730205840766,
adult,5,0.7,492.0,0.1571549351421504,
adult,5,"J(0.3,0.5)",,,0.043731778425655975
adult,5,"J(0.3,0.7)",,,0.008426966292134831
adult,5,"J(0.5,0.7)",,,0.06862745098039216
adult,6,0.3,462.0,0.09511468240589514,
adult,6,0.5,485.0,0.14390311869893146,
adult,6,0.7,468.0,0.15779432993821188,
adult,6,"J(0.3,0.5)",,,0.02823018458197611
adult,6,"J(0.3,0.7)",,,0.001076426264800861
adult,6,"J(0.5,0.7)",,,0.04039301310043668
adult,7,0.3,703.0,0.11043359651970278,
adult,7,0.5,602.0,0.13182212545172495,
adult,7,0.7,520.0,0.1623640144364653,
adult,7,"J(0.3,0.5)",,,0.07495881383855024
adult,7,"J(0.3,0.7)",,,0.010743801652892562
adult,7,"J(0.5,0.7)",,,0.06653992395437262
adult,8,0.3,498.0,0.08927242977156899,
adult,8,0.5,446.0,0.08909364445611466,
adult,8,0.7,400.0,0.1137950561317093,
adult,8,"J(0.3,0.5)",,,0.07150964812712826
adult,8,"J(0.3,0.7)",,,0.013544018058690745
adult,8,"J(0.5,0.7)",,,0.0654911838790932
adult,9,0.3,584.0,0.09221851153260854,
adult,9,0.5,495.0,0.12633314065816492,
adult,9,0.7,536.0,0.1694562983861316,
adult,9,"J(0.3,0.5)",,,0.045542635658914726
adult,9,"J(0.3,0.7)",,,0.005385996409335727
adult,9,"J(0.5,0.7)",,,0.04989816700610998
