dataset,seed,method,quadrant,n_before,n_after,delta
german,4,platt,D,164,171,7
german,4,platt,TOTAL_MOVED,200,200,15
german,4,isotonic,A,9,10,1
german,4,isotonic,B,11,10,-1
german,4,isotonic,C,16,11,-5
german,4,isotonic,D,164,169,5
german,4,isotonic,TOTAL_MOVED,200,200,19
german,5,platt,A,5,12,7
german,5,platt,B,15,8,-7
german,5,platt,C,17,15,-2
german,5,platt,D,163,165,2
german,5,platt,TOTAL_MOVED,200,200,29
german,5,isotonic,A,5,8,3
german,5,isotonic,B,15,12,-3
german,5,isotonic,C,17,16,-1
german,5,isotonic,D,163,164,1
german,5,isotonic,TOTAL_MOVED,200,200,29
german,6,platt,A,11,13,2
german,6,platt,B,9,7,-2
german,6,platt,C,11,8,-3
german,6,platt,D,169,172,3
german,6,platt,TOTAL_MOVED,200,200,35
german,6,isotonic,A,11,12,1
german,6,isotonic,B,9,8,-1
german,6,isotonic,C,11,9,-2
german,6,isotonic,D,169,171,2
german,6,isotonic,TOTAL_MOVED,200,200,34
german,7,platt,A,8,8,0
german,7,platt,B,12,12,0
german,7,platt,C,12,12,0
german,7,platt,D,168,168,0
german,7,platt,TOTAL_MOVED,200,200,15
german,7,isotonic,A,8,7,-1
german,7,isotonic,B,12,13,1
german,7,isotonic,C,12,19,7
german,7,isotonic,D,168,161,-7
german,7,isotonic,TOTAL_MOVED,200,200,22
german,8,platt,A,5,20,15
german,8,platt,B,15,0,-15
german,8,platt,C,15,180,165
german,8,platt,D,165,0,-165
german,8,platt,TOTAL_MOVED,200,200,184
german,8,isotonic,A,5,17,12
german,8,isotonic,B,15,3,-12
german,8,isotonic,C,15,9,-6
german,8,isotonic,D,165,171,6
german,8,isotonic,TOTAL_MOVED,200,200,48
german,9,platt,A,7,8,1
german,9,platt,B,13,12,-1
german,9,platt,C,15,14,-1
german,9,platt,D,165,166,1
german,9,platt,TOTAL_MOVED,200,200,34
german,9,isotonic,A,7,3,-4
german,9,isotonic,B,13,17,4
german,9,isotonic,C,15,18,3
german,9,isotonic,D,165,162,-3
german,9,isotonic,TOTAL_MOVED,200,200,30
adult,0,platt,A,977,977,0
adult,0,platt,B,0,0,0
adult,0,platt,C,8792,8792,0
adult,0,platt,D,0,0,0
adult,0,platt,TOTAL_MOVED,9769,9769,404
adult,0,isotonic,A,977,536,-441
adult,0,isotonic,B,0,441,441
adult,0,isotonic,C,8792,500,-8292
adult,0,isotonic,D,0,8292,8292
adult,0,isotonic,TOTAL_MOVED,9769,9769,8846
adult,1,platt,A,977,977,0
adult,1,platt,B,0,0,0
adult,1,platt,C,8792,8792,0
adult,1,platt,D,0,0,0
adult,1,platt,TOTAL_MOVED,9769,9769,414
adult,1,isotonic,A,977,479,-498
adult,1,isotonic,B,0,498,498
