group_col,group_val,hh_rate_mean,hh_rate_std,mean_var_mean,mean_var_std,n_seeds,n_seed_eligible,n_group_mean,hh_rate_ci_low,hh_rate_ci_high
race,Native American,0.18928571428571428,0.30975012076540814,0.0036471856561560655,0.0016950689542933807,10,0,3.8,0.041666666666666664,0.39166666666666666
race,Asian,0.16202380952380951,0.2157098837982487,0.004370767607241163,0.00206028671039077,10,0,6.4,0.05357142857142857,0.29428571428571426
race,Other,0.1154300942008136,0.12822385073066056,0.0019367948269923964,0.00047701678529650976,10,10,71.3,0.05568640461420208,0.19531359451561
race,African-American,0.07951811220146904,0.05801038506218136,0.0013077444996526352,0.00037101873837515776,10,10,728.9,0.04578546309453053,0.11254712467295931
race,Caucasian,0.0317577817085274,0.017795089078781627,0.0011771538826909405,0.00024556473338834195,10,10,504.5,0.022219752665095214,0.04280909565517604
race,Hispanic,0.021755408753864662,0.02594767409664679,0.0012487012374719445,0.00034814024800477653,10,10,128.1,0.009094872148049448,0.038307209958112945
sex,Male,0.06010388950016891,0.03645354202246402,0.0012765766264285117,0.0003073475779510459,10,10,1164.0,0.03888344817727507,0.08071343458887865
sex,Female,0.05995427444912832,0.06058853994010657,0.0014437076506589378,0.0003407047873282017,10,10,279.0,0.027144406829937517,0.095312342305272
