dataset,n_runs,obs_mean,obs_std,null_mean,null_std,p_empirical_mean,frac_sig
adult,10,0.11764642192073063,0.013150192027931088,-6.180148919060762e-05,0.0015681020183545545,0.009900990099009901,1.0
compas,10,0.16666458540283088,0.033122466461582435,-0.0008135144815876025,0.005975227025318978,0.009900990099009901,1.0
german,10,0.048692207921293515,0.028534333639693866,-0.0059600592647651145,0.014004706742906053,0.052475247524752466,0.9
