dataset,n_runs,obs_mean_moran,obs_std_moran,null_mean_moran,null_std_moran,p_internal_mean,p_empirical_mean_moran,frac_sig_moran,obs_mean_hh,obs_std_hh,null_mean_hh,null_std_hh,p_empirical_mean_hh,frac_sig_hh
adult,10,0.07493317280366249,0.021908948472710636,-8.041567762880811e-05,0.0015278987539226597,0.001,0.009900990099009901,1.0,630.3,218.41349673396,0.0,0.0,0.009900990099009901,1.0
compas,10,0.2100176841125872,0.08142725359292438,-0.00046301300700127886,0.005928524466800296,0.001,0.009900990099009901,1.0,129.7,71.62409588337651,0.0,0.0,0.009900990099009901,1.0
german,10,0.08760560437670288,0.03877525940656372,-0.005358442307700795,0.014193801880605447,0.006,0.01683168316831683,0.9,6.0,5.270462766947299,0.003,0.029999999999999992,0.20792079207920794,0.8
