rule_rank,component_support,component_purity,component_recall,component_lift,component_base_rate,rule_text,features_used,rule_features,support,support_frac,purity,recall,lift,base_rate,n_hh_total,n_total,outer_seed,component_id,component_rank_by_size,component_size,component_share_of_hh,n_test
6,6,0.16666666666666666,0.003745318352059925,0.9007490636704119,0.18503118503118504,age <= 23.5 AND race_Caucasian <= 0.5 AND priors_count > 5.5,"['age', 'race_Caucasian', 'priors_count']","age, race_Caucasian, priors_count",6,0.004158004158004158,0.16666666666666666,0.003745318352059925,0.9007490636704119,0.18503118503118504,267,1443,3,0,1,267,1.0,1443
0,27,0.9259259259259259,0.9259259259259259,49.48559670781893,0.018711018711018712,priors_count > 15.5 AND age > 31.5 AND priors_count > 18.5,"['priors_count', 'age']","priors_count, age",27,0.018711018711018712,0.9259259259259259,0.9259259259259259,49.48559670781893,0.018711018711018712,54,1443,4,2,1,27,0.5,1443
1,13,0.15384615384615385,0.07407407407407407,8.222222222222221,0.018711018711018712,priors_count > 15.5 AND age > 31.5 AND priors_count <= 18.5,"['priors_count', 'age']","priors_count, age",13,0.009009009009009009,0.15384615384615385,0.07407407407407407,8.222222222222221,0.018711018711018712,54,1443,4,2,1,27,0.5,1443
0,229,0.004366812227074236,0.03125,0.1969159388646288,0.022176022176022176,age <= 25.5 AND c_charge_degree_M <= 0.5 AND race_Other <= 0.5,"['age', 'c_charge_degree_M', 'race_Other']","age, c_charge_degree_M, race_Other",229,0.1586971586971587,0.004366812227074236,0.03125,0.1969159388646288,0.022176022176022176,71,1443,5,0,1,32,0.4507042253521127,1443
1,201,0.004975124378109453,0.03125,0.22434701492537312,0.022176022176022176,age > 25.5 AND race_Other <= 0.5 AND sex_Male <= 0.5,"['age', 'race_Other', 'sex_Male']","age, race_Other, sex_Male",201,0.1392931392931393,0.004975124378109453,0.03125,0.22434701492537312,0.022176022176022176,71,1443,5,0,1,32,0.4507042253521127,1443
2,53,0.32075471698113206,0.53125,14.464033018867923,0.022176022176022176,age <= 25.5 AND c_charge_degree_M > 0.5 AND age <= 23.5,"['age', 'c_charge_degree_M']","age, c_charge_degree_M",53,0.036729036729036726,0.32075471698113206,0.53125,14.464033018867923,0.022176022176022176,71,1443,5,0,1,32,0.4507042253521127,1443
3,47,0.06382978723404255,0.09375,2.8783244680851063,0.022176022176022176,age <= 25.5 AND c_charge_degree_M > 0.5 AND age > 23.5,"['age', 'c_charge_degree_M']","age, c_charge_degree_M",47,0.03257103257103257,0.06382978723404255,0.09375,2.8783244680851063,0.022176022176022176,71,1443,5,0,1,32,0.4507042253521127,1443
4,19,0.2631578947368421,0.15625,11.866776315789473,0.022176022176022176,age > 25.5 AND race_Other > 0.5 AND c_charge_degree_F <= 0.5,"['age', 'race_Other', 'c_charge_degree_F']","age, race_Other, c_charge_degree_F",19,0.013167013167013167,0.2631578947368421,0.15625,11.866776315789473,0.022176022176022176,71,1443,5,0,1,32,0.4507042253521127,1443
5,13,0.38461538461538464,0.15625,17.34375,0.022176022176022176,age <= 25.5 AND c_charge_degree_M <= 0.5 AND race_Other > 0.5,"['age', 'c_charge_degree_M', 'race_Other']","age, c_charge_degree_M, race_Other",13,0.009009009009009009,0.38461538461538464,0.15625,17.34375,0.022176022176022176,71,1443,5,0,1,32,0.4507042253521127,1443
0,27,0.9259259259259259,0.8333333333333334,44.53703703703704,0.02079002079002079,priors_count > 14.5 AND age > 36.5 AND priors_count > 19.5,"['priors_count', 'age']","priors_count, age",27,0.018711018711018712,0.9259259259259259,0.8333333333333334,44.53703703703704,0.02079002079002079,71,1443,5,2,2,30,0.4225352112676056,1443
