dataset,family,subset,hp_name,rashomon_mean_importance,full_pool_mean_importance,rashomon_mean_rank,full_pool_mean_rank,rashomon_n_seeds,full_pool_n_seeds,rashomon_std_importance,full_pool_std_importance,delta_rashomon_minus_full,abs_delta
german,kNN,all,n_neighbors,0.5861162258618847,0.5017449342612166,1.0,1.0,10,10,0.1588511090561788,0.03509547300905891,0.08437129160066814,0.08437129160066814
german,kNN,all,p,0.03325749891253557,0.0016259328957451366,2.3,2.3,10,10,0.032365465883225114,0.002002370395796339,0.03163156601679044,0.03163156601679044
german,kNN,all,weights,0.014378766163841247,0.001325935574827982,2.7,2.7,10,10,0.01427883513200849,0.0011631030917117141,0.013052830589013265,0.013052830589013265
