feature,grid_value,predicted_V_m,n_background_rows
hp_C,1e-05,0.00929565454942991,100
hp_C,3.359818286283781e-05,0.00929565454942991,100
hp_C,0.00011288378916846884,0.00929565454942991,100
hp_C,0.000379269019073225,0.00929895401785374,100
hp_C,0.0012742749857031334,0.008919154375980443,100
hp_C,0.004281332398719391,0.008913993186793456,100
hp_C,0.01438449888287663,0.008899308312909958,100
hp_C,0.04832930238571752,0.008988295161821609,100
hp_C,0.1623776739188721,0.009267148581785014,100
hp_C,0.5455594781168515,0.00947327833730075,100
hp_C,1.8329807108324339,0.009658387073955105,100
hp_C,6.1584821106602545,0.009688099566175699,100
hp_C,20.6913808111479,0.00970150636584291,100
hp_C,69.51927961775606,0.009706901356865558,100
hp_C,233.57214690901213,0.00970941399319455,100
hp_C,784.7599703514607,0.009710266626315238,100
hp_C,2636.6508987303555,0.00971040880559596,100
hp_C,8858.667904100832,0.009710488724566597,100
hp_C,29763.51441631313,0.009710498253418291,100
hp_C,100000.0,0.009710498724631575,100
