feature,grid_value,predicted_V_m,n_background_rows
hp_C,0.01438449888287663,0.016115908397637345,100
hp_C,0.04832930238571752,0.015491712606749142,100
hp_C,0.1623776739188721,0.009180058927683915,100
hp_C,0.5455594781168515,0.001644317901815376,100
hp_C,1.8329807108324339,0.00037916331998093965,100
hp_C,6.1584821106602545,0.0005290230823983423,100
hp_C,20.6913808111479,0.0006598635091640809,100
hp_C,69.51927961775606,0.0007025611843668718,100
hp_C,233.57214690901213,0.0007128704425771598,100
hp_C,784.7599703514607,0.0007200073630073843,100
hp_C,2636.6508987303555,0.0007237743678948054,100
hp_C,8858.667904100832,0.0007209057058490221,100
hp_C,29763.51441631313,0.000720910532156782,100
hp_C,100000.0,0.0007208772004015409,100
