dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,mean_rank,rank_freq_top1,rank_freq_top3,n_seeds
german,Rashomon,non_HH,GBM,learning_rate,0.23225866747919333,0.1744165063407865,2.0,0.6,0.8,10
german,Rashomon,non_HH,GBM,n_estimators,0.14203452611959397,0.1076308199352153,2.2,0.2,0.9,10
german,Rashomon,non_HH,GBM,max_depth,0.12538366295462436,0.08992207521288774,2.5,0.2,0.8,10
german,Rashomon,non_HH,GBM,subsample,0.043554657458744074,0.03588952187314802,3.3,0.0,0.5,10
