family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,dataset,seed,pool_type,subset
MLP,alpha,hp_alpha,25,25,4,0.23831051313985527,0.22171558330455474,0.4152698953173612,0.25702598353247497,compas,0,Rashomon,non_HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.13069061966046872,0.10295351784477527,0.2935734537940807,0.1627522040076716,compas,0,Rashomon,non_HH
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.13401653668736685,0.11605879874089058,0.26361645072896345,0.1340103517047822,compas,0,Rashomon,non_HH
MLP,activation,hp_activation,25,25,2,0.05438749466857429,0.023228763401040475,0.12349374953834347,0.05778129118023707,compas,0,Rashomon,non_HH
RF,max_depth,hp_max_depth,25,24,4,0.5892234492893259,0.6548816425099986,0.9450443585597266,0.6746299870115657,compas,0,Rashomon,non_HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.10669478303911821,0.1058062840858644,0.1959767498785179,0.12262669382564978,compas,0,Rashomon,non_HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.07360926981561759,0.056797282304283006,0.1501183442961889,0.06280645769150289,compas,0,Rashomon,non_HH
RF,max_features,hp_max_features,25,20,2,0.030841771276282313,0.0265208864490977,0.05878186490211622,0.029012715580639756,compas,0,Rashomon,non_HH
RF,n_estimators,hp_n_estimators,25,25,3,0.03598576607616628,0.02239341652500744,0.09080794960785411,0.026934195304143906,compas,0,Rashomon,non_HH
kNN,n_neighbors,hp_n_neighbors,25,25,13,0.836929143458227,0.879075304352601,0.9833600063945261,0.8332431077931802,compas,0,Rashomon,non_HH
kNN,weights,hp_weights,25,25,2,0.14445485077474735,0.048403742336749184,0.5055763263373354,0.1829263256358751,compas,0,Rashomon,non_HH
kNN,p,hp_p,25,25,2,0.01540717744069564,0.0055802883385058,0.03642333318380761,0.014906507705537258,compas,0,Rashomon,non_HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.2362262510393264,0.2139202211764135,0.44711674495616444,0.24594414132407655,compas,1,Rashomon,all
GBM,max_depth,hp_max_depth,25,25,3,0.2167274251052213,0.16934454147244826,0.48476207346183653,0.19463371669799862,compas,1,Rashomon,all
GBM,subsample,hp_subsample,25,25,3,0.08037519355025204,0.05566314407718653,0.1935481719245321,0.07772237860252304,compas,1,Rashomon,all
GBM,n_estimators,hp_n_estimators,25,25,3,0.07466739558395441,0.04984376638904417,0.1747418056033194,0.06690611006507514,compas,1,Rashomon,all
LogReg,C,hp_C,25,25,11,0.8238003714792439,0.8646123743770655,0.9807121959368347,0.9050692101591129,compas,1,Rashomon,all
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.11707568321491375,0.09166114362799023,0.18591467155513,0.08421658703892348,compas,1,Rashomon,all
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.2272593751208694,0.20763092224455146,0.45366578875436914,0.2983355770824015,compas,1,Rashomon,all
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.1456730324934859,0.13226538092183343,0.26124898296011284,0.15221848437816227,compas,1,Rashomon,all
MLP,activation,hp_activation,25,25,2,0.11805026992622997,0.07798801549791301,0.3161426758686402,0.1335660473292391,compas,1,Rashomon,all
MLP,alpha,hp_alpha,25,25,4,0.10418721940984281,0.0989002533513572,0.18523738560544747,0.10066097999856403,compas,1,Rashomon,all
RF,max_depth,hp_max_depth,25,25,4,0.5277665342793825,0.5549640354010273,0.9144832916473264,0.6116775934129052,compas,1,Rashomon,all
RF,max_features,hp_max_features,25,16,2,0.22733472887112888,0.24525581880876143,0.3750829013871764,0.27842233580405956,compas,1,Rashomon,all
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.1301238013450948,0.12639530986944228,0.22748276327223943,0.13491149434887997,compas,1,Rashomon,all
RF,n_estimators,hp_n_estimators,25,25,3,0.08255312986881788,0.07538888198473111,0.1490610020758905,0.086114652519865,compas,1,Rashomon,all
RF,min_samples_split,hp_min_samples_split,25,25,3,0.04046058257542988,0.03111688185647562,0.09284446681835778,0.03549624106142753,compas,1,Rashomon,all
kNN,n_neighbors,hp_n_neighbors,25,25,13,0.7824732896395162,0.8259119280764449,0.969677796101538,0.7614205805411995,compas,1,Rashomon,all
kNN,weights,hp_weights,25,25,2,0.16910030490354247,0.06544560066003134,0.5241825851792442,0.22302488291605774,compas,1,Rashomon,all
kNN,p,hp_p,25,25,2,0.027478589232905803,0.012761538466548478,0.06219036225612001,0.026413433048867126,compas,1,Rashomon,all
GBM,max_depth,hp_max_depth,25,25,3,0.2362910343380423,0.20270689572809533,0.49380479848373865,0.20648833477101483,compas,1,Rashomon,HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.21231535363681553,0.17266359158303832,0.43896619718644314,0.20378235159078936,compas,1,Rashomon,HH
GBM,subsample,hp_subsample,25,25,3,0.07531874802728715,0.0583476258529729,0.1940988144604303,0.08709516724334349,compas,1,Rashomon,HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.06607840328237796,0.052836763190349044,0.13788853282631858,0.05926539065492174,compas,1,Rashomon,HH
LogReg,C,hp_C,25,25,11,0.7924668660446487,0.8558839575063273,0.994431703273775,0.8303499389433763,compas,1,Rashomon,HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.14264980522537823,0.10910834859187356,0.2632236887790223,0.08841022692410089,compas,1,Rashomon,HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.30762003767383483,0.3156718459620271,0.4977565496156295,0.3590900711994083,compas,1,Rashomon,HH
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.1826105395056125,0.16179617872455188,0.2868408708325659,0.1788338637689351,compas,1,Rashomon,HH
MLP,activation,hp_activation,25,25,2,0.11302293146852671,0.07141524983850543,0.26615182892287137,0.11721720317318492,compas,1,Rashomon,HH
MLP,alpha,hp_alpha,25,25,4,0.08724755298066142,0.0823732567576756,0.17451110451438628,0.07725559006812303,compas,1,Rashomon,HH
RF,max_depth,hp_max_depth,25,25,4,0.5562480727449695,0.6512630587281523,0.9346580053467831,0.5766600040033653,compas,1,Rashomon,HH
RF,max_features,hp_max_features,25,16,2,0.25278814520525794,0.29728356080271634,0.3784779428471634,0.2852019709892233,compas,1,Rashomon,HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.12372548608904996,0.1296995801048645,0.1925113346896869,0.12147634424223935,compas,1,Rashomon,HH
RF,n_estimators,hp_n_estimators,25,25,3,0.08218521768739108,0.0756334821308052,0.15008133772475216,0.08517429570207027,compas,1,Rashomon,HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.030663070184553314,0.02810817909387381,0.05886385951422933,0.02765490098558817,compas,1,Rashomon,HH
kNN,n_neighbors,hp_n_neighbors,25,25,13,0.8005539785842012,0.8405882692411905,0.9748090443257463,0.801756690005022,compas,1,Rashomon,HH
kNN,weights,hp_weights,25,25,2,0.1474119956098121,0.040915751159876494,0.48730524412073123,0.16842710045079656,compas,1,Rashomon,HH
kNN,p,hp_p,25,25,2,0.03722603217817467,0.011332938565148465,0.06291809250437146,0.023751185000269792,compas,1,Rashomon,HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.23881568002070433,0.21918734636305842,0.4472104951140107,0.2568475462345481,compas,1,Rashomon,non_HH
