dataset,family,pool_type,target_vm,feature_group,mean_importance,std_importance,top1_frequency,top3_frequency,mean_rank,n_reps_used,group_key
adult,LogReg,Rashomon,V_m_HH,hp_C,0.8805422614235611,0.03197256619676449,1.0,1.0,1.0,12,adult|LogReg|Rashomon|V_m_HH
adult,LogReg,Rashomon,V_m_HH,validation_brier,0.061760336148424834,0.041296700438911864,0.0,1.0,2.6666666666666665,12,adult|LogReg|Rashomon|V_m_HH
adult,LogReg,Rashomon,V_m_HH,hp_l1_ratio,0.057697402428014084,0.028679456126794886,0.0,1.0,2.3333333333333335,12,adult|LogReg|Rashomon|V_m_HH
adult,LogReg,Rashomon,V_m_nonHH,hp_C,0.8822033613738135,0.01564610263151136,1.0,1.0,1.0,12,adult|LogReg|Rashomon|V_m_nonHH
adult,LogReg,Rashomon,V_m_nonHH,hp_l1_ratio,0.0720499607524921,0.03152168402660902,0.0,1.0,2.25,12,adult|LogReg|Rashomon|V_m_nonHH
adult,LogReg,Rashomon,V_m_nonHH,validation_brier,0.04574667787369432,0.019293024460887927,0.0,1.0,2.75,12,adult|LogReg|Rashomon|V_m_nonHH
adult,LogReg,full_pool,V_m,validation_brier,0.9953285745841821,0.0018032936478310866,1.0,1.0,1.0,12,adult|LogReg|full_pool|V_m
adult,LogReg,full_pool,V_m,hp_l1_ratio,0.0027319834998826044,0.0010724034304134917,0.0,1.0,2.3333333333333335,12,adult|LogReg|full_pool|V_m
adult,LogReg,full_pool,V_m,hp_C,0.001939441915935317,0.0013073488947348431,0.0,1.0,2.6666666666666665,12,adult|LogReg|full_pool|V_m
adult,LogReg,full_pool,V_m_HH,validation_brier,0.9954733092941388,0.0022264698721830827,1.0,1.0,1.0,12,adult|LogReg|full_pool|V_m_HH
adult,LogReg,full_pool,V_m_HH,hp_l1_ratio,0.0023468720717104187,0.0009440928099093127,0.0,1.0,2.4166666666666665,12,adult|LogReg|full_pool|V_m_HH
adult,LogReg,full_pool,V_m_HH,hp_C,0.0021798186341507224,0.0017654682197850277,0.0,1.0,2.5833333333333335,12,adult|LogReg|full_pool|V_m_HH
adult,LogReg,full_pool,V_m_nonHH,validation_brier,0.9945868061373142,0.0019135971126177278,1.0,1.0,1.0,12,adult|LogReg|full_pool|V_m_nonHH
adult,LogReg,full_pool,V_m_nonHH,hp_l1_ratio,0.003764471483886737,0.0012629025272529715,0.0,1.0,2.0,12,adult|LogReg|full_pool|V_m_nonHH
adult,LogReg,full_pool,V_m_nonHH,hp_C,0.001648722378799138,0.001056625765629561,0.0,1.0,3.0,12,adult|LogReg|full_pool|V_m_nonHH
adult,MLP,Rashomon,V_m,hp_learning_rate_init,0.5177698860813655,0.033028513122017183,1.0,1.0,1.0,12,adult|MLP|Rashomon|V_m
adult,MLP,Rashomon,V_m,validation_brier,0.25738427955985216,0.0448619634170859,0.0,1.0,2.0,12,adult|MLP|Rashomon|V_m
adult,MLP,Rashomon,V_m,hp_hidden_layer_sizes,0.12005273948869531,0.028980142548127433,0.0,1.0,3.0,12,adult|MLP|Rashomon|V_m
adult,MLP,Rashomon,V_m,hp_activation,0.0586604926908277,0.014754946089979827,0.0,0.0,4.333333333333333,12,adult|MLP|Rashomon|V_m
adult,MLP,Rashomon,V_m,hp_alpha,0.046132602179259324,0.004305443674559804,0.0,0.0,4.666666666666667,12,adult|MLP|Rashomon|V_m
adult,MLP,Rashomon,V_m_HH,hp_learning_rate_init,0.44005663606646345,0.03280850348645655,1.0,1.0,1.0,12,adult|MLP|Rashomon|V_m_HH
adult,MLP,Rashomon,V_m_HH,validation_brier,0.29172236490180625,0.05807544182541017,0.0,1.0,2.0833333333333335,12,adult|MLP|Rashomon|V_m_HH
adult,MLP,Rashomon,V_m_HH,hp_hidden_layer_sizes,0.14911192354847555,0.04695185341016826,0.0,1.0,2.9166666666666665,12,adult|MLP|Rashomon|V_m_HH
adult,MLP,Rashomon,V_m_HH,hp_activation,0.06384506784639885,0.02630561649696573,0.0,0.0,4.5,12,adult|MLP|Rashomon|V_m_HH
adult,MLP,Rashomon,V_m_HH,hp_alpha,0.05526400763685597,0.008457283019296376,0.0,0.0,4.5,12,adult|MLP|Rashomon|V_m_HH
adult,MLP,Rashomon,V_m_nonHH,hp_learning_rate_init,0.5231054390415311,0.035305871250712245,1.0,1.0,1.0,12,adult|MLP|Rashomon|V_m_nonHH
adult,MLP,Rashomon,V_m_nonHH,validation_brier,0.2584085852215125,0.03966008820248376,0.0,1.0,2.0,12,adult|MLP|Rashomon|V_m_nonHH
adult,MLP,Rashomon,V_m_nonHH,hp_hidden_layer_sizes,0.11348009535127286,0.024304104423165593,0.0,1.0,3.0,12,adult|MLP|Rashomon|V_m_nonHH
adult,MLP,Rashomon,V_m_nonHH,hp_activation,0.05663153925790566,0.010971192008358563,0.0,0.0,4.333333333333333,12,adult|MLP|Rashomon|V_m_nonHH
