hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
weights,0.0029864516510274106,2,25,0.004489377434527427,categorical_exact,2,12,german,0,kNN,Rashomon,non_HH,25
n_estimators,0.2587161561437317,3,25,0.005799220207139268,numeric_exact,3,6,german,1,GBM,Rashomon,all,25
max_depth,0.15692201646176057,3,24,0.005779866677425707,numeric_exact,3,6,german,1,GBM,Rashomon,all,25
learning_rate,0.10010935508719213,4,25,0.005799220207139268,numeric_exact,4,2,german,1,GBM,Rashomon,all,25
subsample,0.015073668548328907,3,25,0.005799220207139268,numeric_exact,3,6,german,1,GBM,Rashomon,all,25
C,0.12351503889094544,3,25,0.0029952091176716883,numeric_tertile,3,6,german,1,LogReg,Rashomon,all,25
l1_ratio,0.06695386565853528,3,25,0.0029952091176716883,numeric_tertile,3,5,german,1,LogReg,Rashomon,all,25
hidden_layer_sizes,0.22602440145057673,5,25,0.007205976405213568,categorical_exact,5,3,german,1,MLP,Rashomon,all,25
alpha,0.08934157193727557,4,25,0.007205976405213568,numeric_exact,4,3,german,1,MLP,Rashomon,all,25
learning_rate_init,0.06105889288687685,2,25,0.007205976405213568,numeric_exact,2,9,german,1,MLP,Rashomon,all,25
activation,0.0005461684762551622,2,25,0.007205976405213568,categorical_exact,2,8,german,1,MLP,Rashomon,all,25
max_features,0.5514256178428039,3,25,0.0025909744248875776,categorical_exact,3,7,german,1,RF,Rashomon,all,25
max_depth,0.06009698310519038,3,20,0.002498512971939151,numeric_exact,3,6,german,1,RF,Rashomon,all,25
min_samples_split,0.05626588160558694,3,25,0.0025909744248875776,numeric_exact,3,8,german,1,RF,Rashomon,all,25
min_samples_leaf,0.015106504778469504,3,25,0.0025909744248875776,numeric_exact,3,7,german,1,RF,Rashomon,all,25
n_estimators,0.004138050547285073,3,25,0.0025909744248875776,numeric_exact,3,5,german,1,RF,Rashomon,all,25
n_neighbors,0.618395750219917,3,25,0.004708071599197841,numeric_tertile,3,5,german,1,kNN,Rashomon,all,25
p,0.04959132787033885,2,25,0.004708071599197841,numeric_exact,2,9,german,1,kNN,Rashomon,all,25
weights,0.012699827365820125,2,25,0.004708071599197841,categorical_exact,2,12,german,1,kNN,Rashomon,all,25
n_estimators,0.24181387358109305,3,25,0.00565216137308347,numeric_exact,3,6,german,1,GBM,Rashomon,non_HH,25
max_depth,0.15804280117180994,3,24,0.005641843300377688,numeric_exact,3,6,german,1,GBM,Rashomon,non_HH,25
learning_rate,0.09515328348128674,4,25,0.00565216137308347,numeric_exact,4,2,german,1,GBM,Rashomon,non_HH,25
subsample,0.012661787591982417,3,25,0.00565216137308347,numeric_exact,3,6,german,1,GBM,Rashomon,non_HH,25
C,0.12390177392278982,3,25,0.0029695306127611263,numeric_tertile,3,6,german,1,LogReg,Rashomon,non_HH,25
l1_ratio,0.06772546007167705,3,25,0.0029695306127611263,numeric_tertile,3,5,german,1,LogReg,Rashomon,non_HH,25
hidden_layer_sizes,0.22658120368425086,5,25,0.007061488674156667,categorical_exact,5,3,german,1,MLP,Rashomon,non_HH,25
alpha,0.08889455110409702,4,25,0.007061488674156667,numeric_exact,4,3,german,1,MLP,Rashomon,non_HH,25
learning_rate_init,0.061593744868707064,2,25,0.007061488674156667,numeric_exact,2,9,german,1,MLP,Rashomon,non_HH,25
activation,0.0007875108504466279,2,25,0.007061488674156667,categorical_exact,2,8,german,1,MLP,Rashomon,non_HH,25
max_features,0.5243356933216564,3,25,0.002551969079276767,categorical_exact,3,7,german,1,RF,Rashomon,non_HH,25
max_depth,0.07032200280433433,3,20,0.002458487494167546,numeric_exact,3,6,german,1,RF,Rashomon,non_HH,25
min_samples_split,0.05988699198885459,3,25,0.002551969079276767,numeric_exact,3,8,german,1,RF,Rashomon,non_HH,25
min_samples_leaf,0.011689160629281097,3,25,0.002551969079276767,numeric_exact,3,7,german,1,RF,Rashomon,non_HH,25
n_estimators,0.001875236527096865,3,25,0.002551969079276767,numeric_exact,3,5,german,1,RF,Rashomon,non_HH,25
n_neighbors,0.6309444826383815,3,25,0.004646507730993821,numeric_tertile,3,5,german,1,kNN,Rashomon,non_HH,25
p,0.05224399689911062,2,25,0.004646507730993821,numeric_exact,2,9,german,1,kNN,Rashomon,non_HH,25
weights,0.013248304396501709,2,25,0.004646507730993821,categorical_exact,2,12,german,1,kNN,Rashomon,non_HH,25
learning_rate,0.384095418675672,4,25,0.006847484265196174,numeric_exact,4,2,german,2,GBM,Rashomon,all,25
max_depth,0.14902926670479122,4,25,0.006847484265196174,numeric_exact,4,5,german,2,GBM,Rashomon,all,25
n_estimators,0.12819478838286288,3,25,0.006847484265196174,numeric_exact,3,5,german,2,GBM,Rashomon,all,25
subsample,0.009616119774297516,3,25,0.006847484265196174,numeric_exact,3,6,german,2,GBM,Rashomon,all,25
C,0.38778018952035725,3,25,0.0020529387728574957,numeric_tertile,3,5,german,2,LogReg,Rashomon,all,25
l1_ratio,0.02135099170573616,3,25,0.0020529387728574957,numeric_tertile,3,4,german,2,LogReg,Rashomon,all,25
learning_rate_init,0.11770000185333132,2,25,0.011993879050131438,numeric_exact,2,10,german,2,MLP,Rashomon,all,25
hidden_layer_sizes,0.05125358148527241,5,25,0.011993879050131438,categorical_exact,5,2,german,2,MLP,Rashomon,all,25
alpha,0.03666219389471453,4,25,0.011993879050131438,numeric_exact,4,4,german,2,MLP,Rashomon,all,25
activation,0.012300332496950705,2,25,0.011993879050131438,categorical_exact,2,12,german,2,MLP,Rashomon,all,25
max_features,0.7062018924549052,3,25,0.0018686852696565143,categorical_exact,3,4,german,2,RF,Rashomon,all,25
n_estimators,0.23592539437112484,3,25,0.0018686852696565143,numeric_exact,3,6,german,2,RF,Rashomon,all,25
min_samples_leaf,0.1997403324173118,3,25,0.0018686852696565143,numeric_exact,3,6,german,2,RF,Rashomon,all,25
min_samples_split,0.09833686138210505,3,25,0.0018686852696565143,numeric_exact,3,8,german,2,RF,Rashomon,all,25
max_depth,0.07248404697285556,4,19,0.0016221969604424992,numeric_exact,4,3,german,2,RF,Rashomon,all,25
n_neighbors,0.6073363718497292,3,25,0.00459607520777575,numeric_tertile,3,4,german,2,kNN,Rashomon,all,25
weights,0.02927987328872927,2,25,0.00459607520777575,categorical_exact,2,11,german,2,kNN,Rashomon,all,25
p,0.005613685039127044,2,25,0.00459607520777575,numeric_exact,2,7,german,2,kNN,Rashomon,all,25
learning_rate,0.3446833573853749,4,25,0.006716905948174573,numeric_exact,4,2,german,2,GBM,Rashomon,non_HH,25
n_estimators,0.14954051921052977,3,25,0.006716905948174573,numeric_exact,3,5,german,2,GBM,Rashomon,non_HH,25
max_depth,0.13724779365851641,4,25,0.006716905948174573,numeric_exact,4,5,german,2,GBM,Rashomon,non_HH,25
subsample,0.007783298131679441,3,25,0.006716905948174573,numeric_exact,3,6,german,2,GBM,Rashomon,non_HH,25
C,0.3846306547204444,3,25,0.002042120294556822,numeric_tertile,3,5,german,2,LogReg,Rashomon,non_HH,25
l1_ratio,0.02123980459207493,3,25,0.002042120294556822,numeric_tertile,3,4,german,2,LogReg,Rashomon,non_HH,25
learning_rate_init,0.11785094231681455,2,25,0.011643810632601033,numeric_exact,2,10,german,2,MLP,Rashomon,non_HH,25
hidden_layer_sizes,0.05519098915163994,5,25,0.011643810632601033,categorical_exact,5,2,german,2,MLP,Rashomon,non_HH,25
alpha,0.04284380656213191,4,25,0.011643810632601033,numeric_exact,4,4,german,2,MLP,Rashomon,non_HH,25
activation,0.009454834548535716,2,25,0.011643810632601033,categorical_exact,2,12,german,2,MLP,Rashomon,non_HH,25
max_features,0.7011825559595619,3,25,0.0018675520987685226,categorical_exact,3,4,german,2,RF,Rashomon,non_HH,25
n_estimators,0.2340724203041071,3,25,0.0018675520987685226,numeric_exact,3,6,german,2,RF,Rashomon,non_HH,25
min_samples_leaf,0.19710237151499949,3,25,0.0018675520987685226,numeric_exact,3,6,german,2,RF,Rashomon,non_HH,25
min_samples_split,0.09773111268636202,3,25,0.0018675520987685226,numeric_exact,3,8,german,2,RF,Rashomon,non_HH,25
max_depth,0.07056435093506197,4,19,0.0016193287927424211,numeric_exact,4,3,german,2,RF,Rashomon,non_HH,25
n_neighbors,0.598855666775012,3,25,0.004605598557821597,numeric_tertile,3,4,german,2,kNN,Rashomon,non_HH,25
weights,0.029109497304435426,2,25,0.004605598557821597,categorical_exact,2,11,german,2,kNN,Rashomon,non_HH,25
p,0.005119767669927808,2,25,0.004605598557821597,numeric_exact,2,7,german,2,kNN,Rashomon,non_HH,25
max_depth,0.24065994381133257,4,25,0.0068184044078870845,numeric_exact,4,2,german,3,GBM,Rashomon,all,25
n_estimators,0.18094335670550404,3,25,0.0068184044078870845,numeric_exact,3,7,german,3,GBM,Rashomon,all,25
learning_rate,0.0405583186416544,4,25,0.0068184044078870845,numeric_exact,4,2,german,3,GBM,Rashomon,all,25
subsample,0.009143678752417434,3,25,0.0068184044078870845,numeric_exact,3,7,german,3,GBM,Rashomon,all,25
C,0.5152004996450044,3,25,0.0005776573343349915,numeric_tertile,3,5,german,3,LogReg,Rashomon,all,25
l1_ratio,0.09758437305581007,3,25,0.0005776573343349915,numeric_tertile,3,6,german,3,LogReg,Rashomon,all,25
hidden_layer_sizes,0.27284462954143346,5,25,0.01006034623450076,categorical_exact,5,3,german,3,MLP,Rashomon,all,25
learning_rate_init,0.17965504198658272,2,25,0.01006034623450076,numeric_exact,2,12,german,3,MLP,Rashomon,all,25
alpha,0.11499209220711354,4,25,0.01006034623450076,numeric_exact,4,3,german,3,MLP,Rashomon,all,25
activation,0.00030582588353861415,2,25,0.01006034623450076,categorical_exact,2,12,german,3,MLP,Rashomon,all,25
max_features,0.7557834599055576,3,25,0.0031128597354334476,categorical_exact,3,6,german,3,RF,Rashomon,all,25
min_samples_split,0.09840420907360137,3,25,0.0031128597354334476,numeric_exact,3,8,german,3,RF,Rashomon,all,25
n_estimators,0.07573703185673787,3,25,0.0031128597354334476,numeric_exact,3,6,german,3,RF,Rashomon,all,25
max_depth,0.04926338905346866,3,15,0.0032127526829542137,numeric_exact,3,5,german,3,RF,Rashomon,all,25
min_samples_leaf,0.04512036560249806,3,25,0.0031128597354334476,numeric_exact,3,5,german,3,RF,Rashomon,all,25
n_neighbors,0.512946397665533,3,25,0.005432611450580148,numeric_tertile,3,3,german,3,kNN,Rashomon,all,25
p,0.05618477606455328,2,25,0.005432611450580148,numeric_exact,2,10,german,3,kNN,Rashomon,all,25
weights,0.0036580421164624614,2,25,0.005432611450580148,categorical_exact,2,11,german,3,kNN,Rashomon,all,25
max_depth,0.2810800190370373,4,25,0.009300645458041289,numeric_exact,4,2,german,3,GBM,Rashomon,HH,25
subsample,0.13431028151122706,3,25,0.009300645458041289,numeric_exact,3,7,german,3,GBM,Rashomon,HH,25
learning_rate,0.0770615845013038,4,25,0.009300645458041289,numeric_exact,4,2,german,3,GBM,Rashomon,HH,25
n_estimators,0.03207116624152394,3,25,0.009300645458041289,numeric_exact,3,7,german,3,GBM,Rashomon,HH,25
C,0.3811569374170669,3,25,0.0005709355488672931,numeric_tertile,3,5,german,3,LogReg,Rashomon,HH,25
l1_ratio,0.09037402382661668,3,25,0.0005709355488672931,numeric_tertile,3,6,german,3,LogReg,Rashomon,HH,25
alpha,0.20454222282169673,4,25,0.022085439531206584,numeric_exact,4,3,german,3,MLP,Rashomon,HH,25
hidden_layer_sizes,0.11599902290054444,5,25,0.022085439531206584,categorical_exact,5,3,german,3,MLP,Rashomon,HH,25
learning_rate_init,0.06955582676835328,2,25,0.022085439531206584,numeric_exact,2,12,german,3,MLP,Rashomon,HH,25
activation,0.0024210709292501937,2,25,0.022085439531206584,categorical_exact,2,12,german,3,MLP,Rashomon,HH,25
max_features,0.5600375330725376,3,25,0.006486302065211945,categorical_exact,3,6,german,3,RF,Rashomon,HH,25
max_depth,0.08619003613131593,3,15,0.006650170974292857,numeric_exact,3,5,german,3,RF,Rashomon,HH,25
n_estimators,0.07826930475066714,3,25,0.006486302065211945,numeric_exact,3,6,german,3,RF,Rashomon,HH,25
min_samples_split,0.06238092582238008,3,25,0.006486302065211945,numeric_exact,3,8,german,3,RF,Rashomon,HH,25
min_samples_leaf,0.0322783520737702,3,25,0.006486302065211945,numeric_exact,3,5,german,3,RF,Rashomon,HH,25
n_neighbors,0.501344992146741,3,25,0.010111863735499809,numeric_tertile,3,3,german,3,kNN,Rashomon,HH,25
p,0.050745739849797335,2,25,0.010111863735499809,numeric_exact,2,10,german,3,kNN,Rashomon,HH,25
weights,0.00846557324274895,2,25,0.010111863735499809,categorical_exact,2,11,german,3,kNN,Rashomon,HH,25
max_depth,0.23521444995296723,4,25,0.006728374939746777,numeric_exact,4,2,german,3,GBM,Rashomon,non_HH,25
n_estimators,0.18916153770031538,3,25,0.006728374939746777,numeric_exact,3,7,german,3,GBM,Rashomon,non_HH,25
learning_rate,0.03895529155996982,4,25,0.006728374939746777,numeric_exact,4,2,german,3,GBM,Rashomon,non_HH,25
subsample,0.0067175669321690775,3,25,0.006728374939746777,numeric_exact,3,7,german,3,GBM,Rashomon,non_HH,25
C,0.520441488834773,3,25,0.0005779011296628354,numeric_tertile,3,5,german,3,LogReg,Rashomon,non_HH,25
l1_ratio,0.09784983614203364,3,25,0.0005779011296628354,numeric_tertile,3,6,german,3,LogReg,Rashomon,non_HH,25
hidden_layer_sizes,0.2913084730971489,5,25,0.009624202954309357,categorical_exact,5,3,german,3,MLP,Rashomon,non_HH,25
learning_rate_init,0.188992623622953,2,25,0.009624202954309357,numeric_exact,2,12,german,3,MLP,Rashomon,non_HH,25
alpha,0.10449966622827596,4,25,0.009624202954309357,numeric_exact,4,3,german,3,MLP,Rashomon,non_HH,25
activation,0.0006198349251925781,2,25,0.009624202954309357,categorical_exact,2,12,german,3,MLP,Rashomon,non_HH,25
max_features,0.7397446862114996,3,25,0.0029905069048197204,categorical_exact,3,6,german,3,RF,Rashomon,non_HH,25
min_samples_split,0.0965974560020452,3,25,0.0029905069048197204,numeric_exact,3,8,german,3,RF,Rashomon,non_HH,25
max_depth,0.07686615910505458,3,15,0.003088079480677683,numeric_exact,3,5,german,3,RF,Rashomon,non_HH,25
n_estimators,0.07528435586812232,3,25,0.0029905069048197204,numeric_exact,3,6,german,3,RF,Rashomon,non_HH,25
min_samples_leaf,0.05325961375679173,3,25,0.0029905069048197204,numeric_exact,3,5,german,3,RF,Rashomon,non_HH,25
