dataset,family,subset,hp_name,rashomon_mean_importance,full_pool_mean_importance,rashomon_mean_rank,full_pool_mean_rank,rashomon_n_seeds,full_pool_n_seeds,rashomon_std_importance,full_pool_std_importance,delta_rashomon_minus_full,abs_delta
compas,MLP,all,learning_rate_init,0.2657569121877331,0.11625479860747168,1.6,1.4,10,10,0.12167345156411087,0.03274045648969976,0.14950211358026144,0.14950211358026144
compas,MLP,all,hidden_layer_sizes,0.18051261176785743,0.07141184387483837,2.1,2.2,10,10,0.07833161076399649,0.0265591600528499,0.10910076789301906,0.10910076789301906
compas,MLP,all,alpha,0.15872913047394804,0.05837247379791488,2.6,2.9,10,10,0.1299910961223897,0.02956736616167267,0.10035665667603316,0.10035665667603316
