hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
n_neighbors,0.7021819199475606,3,25,0.003862993542797675,numeric_tertile,3,3,german,4,kNN,Rashomon,all,25
p,0.0057513355099704936,2,25,0.003862993542797675,numeric_exact,2,10,german,4,kNN,Rashomon,all,25
weights,0.004996792923771781,2,25,0.003862993542797675,categorical_exact,2,12,german,4,kNN,Rashomon,all,25
learning_rate,0.2846095557437552,4,25,0.009236478306388216,numeric_exact,4,2,german,5,GBM,Rashomon,all,25
n_estimators,0.03133152925514886,3,25,0.009236478306388216,numeric_exact,3,6,german,5,GBM,Rashomon,all,25
subsample,0.023369550431419243,3,25,0.009236478306388216,numeric_exact,3,6,german,5,GBM,Rashomon,all,25
max_depth,0.023340520479035662,4,25,0.009236478306388216,numeric_exact,4,2,german,5,GBM,Rashomon,all,25
C,0.2742870822532651,3,25,0.0017980927199922614,numeric_tertile,3,4,german,5,LogReg,Rashomon,all,25
l1_ratio,0.007005947202673792,3,25,0.0017980927199922614,numeric_tertile,3,5,german,5,LogReg,Rashomon,all,25
learning_rate_init,0.5666431972341225,2,25,0.00682717172252577,numeric_exact,2,12,german,5,MLP,Rashomon,all,25
hidden_layer_sizes,0.22856231246288802,5,25,0.00682717172252577,categorical_exact,5,4,german,5,MLP,Rashomon,all,25
alpha,0.19329798984576513,4,25,0.00682717172252577,numeric_exact,4,4,german,5,MLP,Rashomon,all,25
activation,0.015411100059107884,2,25,0.00682717172252577,categorical_exact,2,12,german,5,MLP,Rashomon,all,25
max_features,0.8574536969379178,3,25,0.002743677120436964,categorical_exact,3,7,german,5,RF,Rashomon,all,25
n_estimators,0.33678972876304586,3,25,0.002743677120436964,numeric_exact,3,7,german,5,RF,Rashomon,all,25
min_samples_leaf,0.16175885719600133,2,25,0.002743677120436964,numeric_exact,2,9,german,5,RF,Rashomon,all,25
max_depth,0.12369244036718739,3,21,0.0025973208324661483,numeric_exact,3,6,german,5,RF,Rashomon,all,25
min_samples_split,0.08579452744424372,3,25,0.002743677120436964,numeric_exact,3,8,german,5,RF,Rashomon,all,25
n_neighbors,0.46745776371054154,3,25,0.00691677687803752,numeric_tertile,3,7,german,5,kNN,Rashomon,all,25
p,0.10422507911715276,2,25,0.00691677687803752,numeric_exact,2,12,german,5,kNN,Rashomon,all,25
weights,9.5143037095612e-05,2,25,0.00691677687803752,categorical_exact,2,8,german,5,kNN,Rashomon,all,25
max_depth,0.313154574455543,4,25,0.008132733503872686,numeric_exact,4,4,german,6,GBM,Rashomon,all,25
n_estimators,0.07969921265513016,3,25,0.008132733503872686,numeric_exact,3,7,german,6,GBM,Rashomon,all,25
subsample,0.07822282623576761,3,25,0.008132733503872686,numeric_exact,3,7,german,6,GBM,Rashomon,all,25
learning_rate,0.0493494078527559,3,24,0.008131537121792237,numeric_exact,3,7,german,6,GBM,Rashomon,all,25
C,0.14931593549359826,3,25,0.002611420798861722,numeric_tertile,3,5,german,6,LogReg,Rashomon,all,25
l1_ratio,0.019980694902401022,3,25,0.002611420798861722,numeric_tertile,3,3,german,6,LogReg,Rashomon,all,25
activation,0.12493225487295453,2,25,0.014931159492498429,categorical_exact,2,10,german,6,MLP,Rashomon,all,25
alpha,0.10653366263230646,4,25,0.014931159492498429,numeric_exact,4,4,german,6,MLP,Rashomon,all,25
hidden_layer_sizes,0.0804590054970812,5,25,0.014931159492498429,categorical_exact,5,3,german,6,MLP,Rashomon,all,25
learning_rate_init,0.07025057224073017,3,25,0.014931159492498429,numeric_exact,3,2,german,6,MLP,Rashomon,all,25
n_estimators,0.42778260977669313,3,25,0.0007476526696210442,numeric_exact,3,5,german,6,RF,Rashomon,all,25
min_samples_split,0.2310612667182247,3,25,0.0007476526696210442,numeric_exact,3,7,german,6,RF,Rashomon,all,25
min_samples_leaf,0.1832976792109017,3,25,0.0007476526696210442,numeric_exact,3,3,german,6,RF,Rashomon,all,25
max_depth,0.17877012720335586,3,17,0.0006922806044305817,numeric_exact,3,4,german,6,RF,Rashomon,all,25
