dataset,pool_type,subset,mean_ratio,std_ratio,n_seeds
adult,Rashomon,HH,0.79153155125471,0.012759250779728384,10
adult,Rashomon,all,0.7052921316736903,0.014031350968096903,10
adult,Rashomon,non_HH,0.6493378581614342,0.01546059833814127,10
