dataset,family,subset,hp_name,rashomon_mean_importance,full_pool_mean_importance,rashomon_mean_rank,full_pool_mean_rank,delta_rashomon_minus_full
german,RF,all,n_estimators,0.2900294874498461,0.05700043966264986,2.0,3.7,0.23302904778719621
german,RF,all,max_features,0.2360167798789501,0.13607636011577914,2.3,2.0,0.09994041976317095
german,RF,all,min_samples_leaf,0.12989570485472385,0.040863491316036435,3.5,3.7,0.08903221353868741
german,RF,all,min_samples_split,0.10398750239369656,0.039569866723929606,3.7,3.8,0.06441763566976695
german,RF,all,max_depth,0.09583350850275385,0.11416194532499384,3.5,1.8,-0.018328436822239988
