family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,dataset,seed,pool_type,subset
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.14182820602481427,0.12144755564154167,0.26426409837285025,0.15526613981100393,adult,0,Rashomon,non_HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.12859654873119566,0.09639422782255205,0.28951851082476665,0.15456764646538507,adult,0,Rashomon,non_HH
MLP,activation,hp_activation,25,25,2,0.09275631362492728,0.05046569528412517,0.2496110623074428,0.10825790990435592,adult,0,Rashomon,non_HH
MLP,alpha,hp_alpha,25,25,4,0.09112190377710501,0.07767259069326804,0.1744507711812475,0.10044326271581876,adult,0,Rashomon,non_HH
RF,max_depth,hp_max_depth,25,20,3,0.2612214538869825,0.22284364837334755,0.549452132085674,0.31465229355422125,adult,0,Rashomon,non_HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.1138641188533808,0.08013706733357928,0.2644428385428461,0.11360024734985054,adult,0,Rashomon,non_HH
RF,max_features,hp_max_features,25,17,2,0.14038773124189147,0.09433332997696216,0.34759908159499,0.10465716079547974,adult,0,Rashomon,non_HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.08885389273057831,0.07694029263173013,0.18140148538181286,0.07721699849003832,adult,0,Rashomon,non_HH
RF,n_estimators,hp_n_estimators,25,25,3,0.03879290489716104,0.028831949276441123,0.0830959362839412,0.03554045335431807,adult,0,Rashomon,non_HH
kNN,n_neighbors,hp_n_neighbors,25,25,9,0.5770805524133711,0.6573505574994969,0.9451775983506611,0.621362155906134,adult,0,Rashomon,non_HH
kNN,weights,hp_weights,25,25,2,0.06374524611535852,0.026340496577014066,0.13923422428786675,0.1534687439479869,adult,0,Rashomon,non_HH
kNN,p,hp_p,25,25,2,0.110136418697139,0.032738095238096385,0.3364721428682454,0.14651022732294236,adult,0,Rashomon,non_HH
GBM,max_depth,hp_max_depth,25,25,4,0.17519077220571452,0.1245835493679812,0.3939606391365697,0.2356687446333175,adult,1,Rashomon,all
GBM,learning_rate,hp_learning_rate,25,25,4,0.2544500828015736,0.19649386979802752,0.5660403764744466,0.12200938263809892,adult,1,Rashomon,all
GBM,subsample,hp_subsample,25,25,3,0.09184598450754235,0.06526304412591868,0.21167962889613184,0.10413606070642857,adult,1,Rashomon,all
GBM,n_estimators,hp_n_estimators,25,25,3,0.09999720660264179,0.09284145291962961,0.18529941795877153,0.09854055911416258,adult,1,Rashomon,all
LogReg,C,hp_C,25,25,10,0.78457850984907,0.8924642748493529,0.9957676525364659,0.9229098112798341,adult,1,Rashomon,all
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.14621229951645645,0.1295084638772225,0.2141455679357557,0.1202749591618732,adult,1,Rashomon,all
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.11781126572771208,0.08084631641862061,0.28254907708981736,0.16292092994558802,adult,1,Rashomon,all
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.138725250373531,0.11954260719982016,0.25242679936387435,0.1613668066784628,adult,1,Rashomon,all
MLP,alpha,hp_alpha,25,25,4,0.14156984132478598,0.1184640556903283,0.2721777395506566,0.1367920959881137,adult,1,Rashomon,all
MLP,activation,hp_activation,25,25,2,0.08025217095564163,0.0420865842737252,0.20973964985122218,0.09140548341324249,adult,1,Rashomon,all
