dataset,family,pool_type,hp,mean_delta,std_delta,n_seeds
adult,LogReg,Rashomon,C,0.00042944021806885503,0.007722662351294235,10
adult,LogReg,Rashomon,l1_ratio,0.00018991368622774395,0.00541788795389892,10
