dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,mean_rank,rank_freq_top1,rank_freq_top3,n_seeds
adult,Rashomon,non_HH,LogReg,C,0.3449159753907397,0.1732116908411825,1.0,1.0,1.0,10
adult,Rashomon,non_HH,LogReg,l1_ratio,0.06296200528397447,0.05711242999829821,2.0,0.0,1.0,10
