dataset,family,pool_type,hp,mean_delta,std_delta,n_seeds
adult,LogReg,full_pool,C,0.0022498552839080644,0.0010688939216975599,10
adult,LogReg,full_pool,l1_ratio,-0.00042592299644926627,0.0008386413423283661,10
