dataset,pool_type,subset,family,hp,mean_importance,std_importance,n_seeds,mean_rank,rank_freq_top1,rank_freq_top3
compas,full_pool,HH,LogReg,C,0.9803334555358207,0.010152421750894387,10,1.0,1.0,1.0
compas,full_pool,HH,LogReg,l1_ratio,0.05485273386125252,0.026528676384575935,10,2.0,0.0,1.0
compas,full_pool,HH,MLP,learning_rate_init,0.2807538754213389,0.10923891249965725,10,1.0,1.0,1.0
compas,full_pool,HH,MLP,hidden_layer_sizes,0.10528908482379543,0.038419710404373454,10,2.6,0.0,0.9
compas,full_pool,HH,MLP,activation,0.08037406189412674,0.03599733765776267,10,3.1,0.0,0.7
compas,full_pool,HH,MLP,alpha,0.05918681331870419,0.030106809314052276,10,3.3,0.0,0.4
compas,full_pool,HH,RF,max_depth,0.5972516217527482,0.043333361504423476,10,1.0,1.0,1.0
compas,full_pool,HH,RF,min_samples_leaf,0.14996813205775966,0.04317538506143176,10,2.1,0.0,1.0
compas,full_pool,HH,RF,min_samples_split,0.0896950422895203,0.05591418413263495,10,3.0,0.0,0.9
compas,full_pool,HH,RF,n_estimators,0.03376621540118545,0.02237707843192924,10,4.3,0.0,0.0
compas,full_pool,HH,RF,max_features,0.021278972984182996,0.028386129234332032,10,4.6,0.0,0.1
compas,full_pool,HH,kNN,weights,0.7513701396751387,0.04967064358115476,10,1.0,1.0,1.0
compas,full_pool,HH,kNN,n_neighbors,0.17323570047373527,0.04438035445521522,10,2.0,0.0,1.0
compas,full_pool,HH,kNN,p,0.0031634068750292683,0.0018418300603336073,10,3.0,0.0,1.0
compas,full_pool,all,GBM,learning_rate,0.32583000574273396,0.05626104519359824,10,1.2,0.8,1.0
compas,full_pool,all,GBM,max_depth,0.23594418366187692,0.07668057356805728,10,2.1,0.2,1.0
compas,full_pool,all,GBM,n_estimators,0.14366111944855406,0.05093466107389029,10,2.7,0.0,1.0
compas,full_pool,all,GBM,subsample,0.0522973053168164,0.016173909139138912,10,4.0,0.0,0.0
compas,full_pool,all,LogReg,C,0.9763984362151101,0.01090175182740091,10,1.0,1.0,1.0
compas,full_pool,all,LogReg,l1_ratio,0.054338913396161884,0.02531928238014988,10,2.0,0.0,1.0
compas,full_pool,all,MLP,learning_rate_init,0.29243754320680637,0.04061420148142047,10,1.0,1.0,1.0
compas,full_pool,all,MLP,hidden_layer_sizes,0.09202171277970417,0.02399019257351903,10,2.2,0.0,1.0
compas,full_pool,all,MLP,activation,0.06099548236485954,0.020197371899888218,10,3.4,0.0,0.6
compas,full_pool,all,MLP,alpha,0.05664059711668945,0.021695381399677582,10,3.4,0.0,0.4
compas,full_pool,all,RF,max_depth,0.5787893203021419,0.032525246400737604,10,1.0,1.0,1.0
compas,full_pool,all,RF,min_samples_leaf,0.1531771986489873,0.041739185308746506,10,2.0,0.0,1.0
compas,full_pool,all,RF,min_samples_split,0.08387260820604166,0.04502043799219241,10,3.0,0.0,1.0
compas,full_pool,all,RF,n_estimators,0.03591700521666448,0.017261763326621316,10,4.2,0.0,0.0
compas,full_pool,all,RF,max_features,0.02118512500125308,0.024916611076683214,10,4.8,0.0,0.0
compas,full_pool,all,kNN,weights,0.6578491862534293,0.014711207736750668,10,1.0,1.0,1.0
compas,full_pool,all,kNN,n_neighbors,0.25683692531385505,0.013214833380015466,10,2.0,0.0,1.0
compas,full_pool,all,kNN,p,0.004278789576172331,0.0008399435530715189,10,3.0,0.0,1.0
compas,full_pool,non_HH,GBM,learning_rate,0.32340597216040534,0.056068952579716114,10,1.2,0.8,1.0
compas,full_pool,non_HH,GBM,max_depth,0.2361339694816742,0.07549201503052305,10,2.1,0.2,1.0
compas,full_pool,non_HH,GBM,n_estimators,0.14285866035064726,0.05085984724452849,10,2.7,0.0,1.0
compas,full_pool,non_HH,GBM,subsample,0.05163772178083949,0.01651132730852825,10,4.0,0.0,0.0
compas,full_pool,non_HH,LogReg,C,0.9760257052916519,0.010949924908606206,10,1.0,1.0,1.0
compas,full_pool,non_HH,LogReg,l1_ratio,0.05436086367559519,0.025350480175362407,10,2.0,0.0,1.0
compas,full_pool,non_HH,MLP,learning_rate_init,0.29374660903370187,0.04195631629824654,10,1.0,1.0,1.0
compas,full_pool,non_HH,MLP,hidden_layer_sizes,0.09133096785282205,0.02358204577733667,10,2.2,0.0,1.0
compas,full_pool,non_HH,MLP,activation,0.06004805099462666,0.020159860611863565,10,3.4,0.0,0.6
compas,full_pool,non_HH,MLP,alpha,0.05671452798033701,0.02178744154065719,10,3.4,0.0,0.4
compas,full_pool,non_HH,RF,max_depth,0.5778865455297398,0.03399359005745495,10,1.0,1.0,1.0
compas,full_pool,non_HH,RF,min_samples_leaf,0.1533988896366537,0.042237075834039246,10,2.0,0.0,1.0
compas,full_pool,non_HH,RF,min_samples_split,0.08363911311368866,0.044628539890796584,10,3.0,0.0,1.0
compas,full_pool,non_HH,RF,n_estimators,0.035868225662794705,0.016873845308300564,10,4.2,0.0,0.0
compas,full_pool,non_HH,RF,max_features,0.021195531814709047,0.024688876654603665,10,4.8,0.0,0.0
compas,full_pool,non_HH,kNN,weights,0.6493589743203265,0.0204282748432004,10,1.0,1.0,1.0
compas,full_pool,non_HH,kNN,n_neighbors,0.2639529399411469,0.01860866436031989,10,2.0,0.0,1.0
compas,full_pool,non_HH,kNN,p,0.0043270376909046735,0.0008373012177997753,10,3.0,0.0,1.0
