dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,mean_rank,rank_freq_top1,rank_freq_top3,n_seeds
german,Rashomon,HH,LogReg,C,0.34458692781958006,0.10470370138635587,1.0,1.0,1.0,3
german,Rashomon,HH,LogReg,l1_ratio,0.03989692431536393,0.04522683536175465,2.0,0.0,1.0,3
