dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
adult,0,Rashomon,all,MLP,alpha,,vm_between_group_ratio,0.09325461733907679
adult,0,Rashomon,all,MLP,activation,,vm_between_group_ratio,0.07563131265143397
adult,0,Rashomon,all,RF,max_features,,vm_between_group_ratio,0.7781333730429192
adult,0,Rashomon,all,RF,max_depth,,vm_between_group_ratio,0.18094286331116427
adult,0,Rashomon,all,RF,n_estimators,,vm_between_group_ratio,0.08760310518395432
adult,0,Rashomon,all,RF,min_samples_split,,vm_between_group_ratio,0.08144853392460523
adult,0,Rashomon,all,RF,min_samples_leaf,,vm_between_group_ratio,0.003941948939568532
adult,0,Rashomon,all,kNN,n_neighbors,,vm_between_group_ratio,0.6086248186289279
adult,0,Rashomon,all,kNN,weights,,vm_between_group_ratio,0.20104048097998853
adult,0,Rashomon,all,kNN,p,,vm_between_group_ratio,0.019404276836087916
adult,0,Rashomon,HH,GBM,n_estimators,,vm_between_group_ratio,0.22596538922965873
adult,0,Rashomon,HH,GBM,learning_rate,,vm_between_group_ratio,0.1797597719705338
adult,0,Rashomon,HH,GBM,max_depth,,vm_between_group_ratio,0.12453244841311716
adult,0,Rashomon,HH,GBM,subsample,,vm_between_group_ratio,0.015485538058311855
adult,0,Rashomon,HH,LogReg,C,,vm_between_group_ratio,0.20305585511478122
adult,0,Rashomon,HH,LogReg,l1_ratio,,vm_between_group_ratio,0.06982122545331038
adult,0,Rashomon,HH,MLP,learning_rate_init,,vm_between_group_ratio,0.31502994051095073
adult,0,Rashomon,HH,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.11744261048317942
adult,0,Rashomon,HH,MLP,activation,,vm_between_group_ratio,0.07689954457552076
adult,0,Rashomon,HH,MLP,alpha,,vm_between_group_ratio,0.07320779397699152
adult,0,Rashomon,HH,RF,max_features,,vm_between_group_ratio,0.9363232492647011
adult,0,Rashomon,HH,RF,max_depth,,vm_between_group_ratio,0.2958385589097653
adult,0,Rashomon,HH,RF,min_samples_split,,vm_between_group_ratio,0.060022554679091546
adult,0,Rashomon,HH,RF,min_samples_leaf,,vm_between_group_ratio,0.03570383056464978
adult,0,Rashomon,HH,RF,n_estimators,,vm_between_group_ratio,0.02195219944914591
adult,0,Rashomon,HH,kNN,n_neighbors,,vm_between_group_ratio,0.5259450980647846
adult,0,Rashomon,HH,kNN,weights,,vm_between_group_ratio,0.18187109066424062
adult,0,Rashomon,HH,kNN,p,,vm_between_group_ratio,0.0017004954875065577
adult,0,Rashomon,non_HH,GBM,n_estimators,,vm_between_group_ratio,0.2137750749016848
adult,0,Rashomon,non_HH,GBM,learning_rate,,vm_between_group_ratio,0.17219897142931015
adult,0,Rashomon,non_HH,GBM,max_depth,,vm_between_group_ratio,0.06727298921375072
adult,0,Rashomon,non_HH,GBM,subsample,,vm_between_group_ratio,0.06515734639618143
adult,0,Rashomon,non_HH,LogReg,C,,vm_between_group_ratio,0.1856079974923351
adult,0,Rashomon,non_HH,LogReg,l1_ratio,,vm_between_group_ratio,0.0685965098166063
adult,0,Rashomon,non_HH,MLP,learning_rate_init,,vm_between_group_ratio,0.47223753716340144
adult,0,Rashomon,non_HH,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.10328130983503277
adult,0,Rashomon,non_HH,MLP,alpha,,vm_between_group_ratio,0.10171595812212054
adult,0,Rashomon,non_HH,MLP,activation,,vm_between_group_ratio,0.06312452073350995
adult,0,Rashomon,non_HH,RF,max_features,,vm_between_group_ratio,0.6678003878361377
adult,0,Rashomon,non_HH,RF,max_depth,,vm_between_group_ratio,0.12408115062385776
adult,0,Rashomon,non_HH,RF,n_estimators,,vm_between_group_ratio,0.11489675952113777
adult,0,Rashomon,non_HH,RF,min_samples_split,,vm_between_group_ratio,0.09835099614897011
adult,0,Rashomon,non_HH,RF,min_samples_leaf,,vm_between_group_ratio,0.013612361748773859
adult,0,Rashomon,non_HH,kNN,n_neighbors,,vm_between_group_ratio,0.6089459136024175
adult,0,Rashomon,non_HH,kNN,weights,,vm_between_group_ratio,0.19890322189042933
adult,0,Rashomon,non_HH,kNN,p,,vm_between_group_ratio,0.03374089875356672
adult,1,Rashomon,all,__global__,__family__,model_name,ratio_of_sums,0.6978495383892502
adult,1,Rashomon,all,__global__,__family__,model_name,mean_ratio,0.5294468657377923
adult,1,Rashomon,HH,__global__,__family__,model_name,ratio_of_sums,0.7813119253896817
adult,1,Rashomon,HH,__global__,__family__,model_name,mean_ratio,0.7215534981394972
adult,1,Rashomon,non_HH,__global__,__family__,model_name,ratio_of_sums,0.6430763618097667
adult,1,Rashomon,non_HH,__global__,__family__,model_name,mean_ratio,0.5139550808903539
adult,1,Rashomon,all,GBM,max_depth,,decomp_ratio_of_sums,0.2356687446333175
adult,1,Rashomon,all,GBM,learning_rate,,decomp_ratio_of_sums,0.12200938263809892
adult,1,Rashomon,all,GBM,subsample,,decomp_ratio_of_sums,0.10413606070642857
adult,1,Rashomon,all,GBM,n_estimators,,decomp_ratio_of_sums,0.09854055911416258
adult,1,Rashomon,all,LogReg,C,,decomp_ratio_of_sums,0.9229098112798341
adult,1,Rashomon,all,LogReg,l1_ratio,,decomp_ratio_of_sums,0.1202749591618732
adult,1,Rashomon,all,MLP,learning_rate_init,,decomp_ratio_of_sums,0.16292092994558802
adult,1,Rashomon,all,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.1613668066784628
adult,1,Rashomon,all,MLP,alpha,,decomp_ratio_of_sums,0.1367920959881137
adult,1,Rashomon,all,MLP,activation,,decomp_ratio_of_sums,0.09140548341324249
adult,1,Rashomon,all,RF,max_features,,decomp_ratio_of_sums,0.3125900462807883
adult,1,Rashomon,all,RF,max_depth,,decomp_ratio_of_sums,0.14203785358731255
adult,1,Rashomon,all,RF,min_samples_split,,decomp_ratio_of_sums,0.09908511858641188
adult,1,Rashomon,all,RF,min_samples_leaf,,decomp_ratio_of_sums,0.09243458857710024
adult,1,Rashomon,all,RF,n_estimators,,decomp_ratio_of_sums,0.0702698086689099
adult,1,Rashomon,all,kNN,n_neighbors,,decomp_ratio_of_sums,0.5596682481679589
adult,1,Rashomon,all,kNN,p,,decomp_ratio_of_sums,0.26962039575386004
adult,1,Rashomon,all,kNN,weights,,decomp_ratio_of_sums,0.13123794301635813
