dataset,family,pool_type,hp,mean_delta,std_delta,n_seeds
adult,GBM,Rashomon,n_estimators,-0.005088335129049121,0.012190028129489055,10
adult,GBM,Rashomon,learning_rate,-0.0032969192517748915,0.008302705410517468,10
