dataset,family,pool_type,hp,mean_delta,std_delta,n_seeds
german,MLP,Rashomon,alpha,-0.008684064421591246,0.017254649860365935,3
german,MLP,Rashomon,activation,-0.0004642643406996688,0.0033985652029054074,3
