dataset,family,subset,pool_type,hp,n_seeds,mean_importance,std_importance,mean_rank,importance_type
german,RF,HH,full_pool,max_depth,6,0.14334485512280545,0.051658812046741096,1.5,decomposition
german,RF,HH,full_pool,max_features,6,0.139895820857623,0.06658712840977002,2.0,decomposition
german,RF,HH,full_pool,min_samples_leaf,6,0.07000093373025174,0.0471467422189835,3.3333333333333335,decomposition
german,RF,HH,full_pool,min_samples_split,6,0.04478138094186849,0.019750882793047837,3.6666666666666665,decomposition
german,RF,HH,full_pool,n_estimators,6,0.0377042378457127,0.037719535825560986,4.5,decomposition
german,kNN,HH,full_pool,n_neighbors,6,0.8232682743233739,0.17374580009206206,1.0,V_m
german,kNN,HH,full_pool,p,6,0.02057833614151804,0.015831209562906436,2.0,V_m
german,kNN,HH,full_pool,weights,6,0.000774980986039475,0.0010029320137016973,3.0,V_m
german,kNN,HH,full_pool,n_neighbors,6,0.7058790549819062,0.11889025982105814,1.0,decomposition
german,kNN,HH,full_pool,p,6,0.13368897031191576,0.0765992797057639,2.0,decomposition
german,kNN,HH,full_pool,weights,6,0.004382104398792334,0.004295169419061823,3.0,decomposition
adult,RF,HH,Rashomon,max_features,9,0.7194244378097765,0.10121428635191251,1.0,V_m
adult,RF,HH,Rashomon,max_features,9,0.34312064791367536,0.1635576309668522,1.5555555555555556,decomposition
adult,RF,all,Rashomon,max_features,9,0.6685160626425595,0.11078861744878951,1.0,V_m
adult,RF,all,Rashomon,max_features,9,0.22549168062046757,0.15757644478197338,2.0,decomposition
adult,RF,non_HH,Rashomon,max_features,9,0.496816168276984,0.13604959916705467,1.3333333333333333,V_m
adult,RF,non_HH,Rashomon,max_features,9,0.19433773269488505,0.15146688756826882,2.3333333333333335,decomposition
