dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,mean_rank,rank_freq_top1,rank_freq_top3,n_seeds
german,Rashomon,HH,MLP,learning_rate_init,0.14977483785134496,0.14521354965174663,2.3333333333333335,0.3333333333333333,1.0,3
german,Rashomon,HH,MLP,activation,0.10339477545593233,0.09739097922734621,2.3333333333333335,0.3333333333333333,0.6666666666666666,3
german,Rashomon,HH,MLP,alpha,0.10010155568374902,0.09205631218109737,2.6666666666666665,0.3333333333333333,0.6666666666666666,3
german,Rashomon,HH,MLP,hidden_layer_sizes,0.08200389855518794,0.029908611956936195,2.6666666666666665,0.0,0.6666666666666666,3
