feature,grid_value,predicted_V_m,n_background_rows
hp_C,1e-05,0.013440937673511823,100
hp_C,3.359818286283781e-05,0.013440937673511823,100
hp_C,0.00011288378916846884,0.013440937673511823,100
hp_C,0.000379269019073225,0.013605865050857303,100
hp_C,0.0012742749857031334,0.013384094270824314,100
hp_C,0.004281332398719391,0.013250239943452344,100
hp_C,0.01438449888287663,0.013646385135147376,100
hp_C,0.04832930238571752,0.013334397916194143,100
hp_C,0.1623776739188721,0.013019676585353085,100
hp_C,0.5455594781168515,0.013898572020301165,100
hp_C,1.8329807108324339,0.015440752021433225,100
hp_C,6.1584821106602545,0.017339856256133847,100
hp_C,20.6913808111479,0.017777103625057994,100
hp_C,69.51927961775606,0.01787079286261858,100
hp_C,233.57214690901213,0.017917806949538276,100
hp_C,784.7599703514607,0.017927254571505014,100
hp_C,2636.6508987303555,0.01793225925964097,100
hp_C,8858.667904100832,0.01793360315570031,100
hp_C,29763.51441631313,0.01793378791013738,100
hp_C,100000.0,0.01793380547921339,100
