dataset,family,subset,pool_type,hp,n_seeds,mean_importance,std_importance,mean_rank,importance_type
german,MLP,HH,full_pool,learning_rate_init,6,0.4118932329773486,0.07572534181945023,1.0,decomposition
german,RF,HH,full_pool,max_depth,6,0.10336884791313926,0.047957535053395436,2.1666666666666665,V_m
german,RF,HH,full_pool,max_features,6,0.13139595728622772,0.08958418147285863,1.8333333333333333,V_m
german,RF,HH,full_pool,min_samples_leaf,6,0.028801426728001348,0.03136312851497324,4.0,V_m
german,RF,HH,full_pool,min_samples_split,6,0.04362723477041235,0.025827967955983248,3.1666666666666665,V_m
german,RF,HH,full_pool,n_estimators,6,0.0445196918992049,0.04880536286796122,3.8333333333333335,V_m
german,RF,HH,full_pool,max_depth,6,0.14334485512280545,0.051658812046741096,1.5,decomposition
german,RF,HH,full_pool,max_features,6,0.139895820857623,0.06658712840977002,2.0,decomposition
german,RF,HH,full_pool,min_samples_leaf,6,0.07000093373025174,0.0471467422189835,3.3333333333333335,decomposition
german,RF,HH,full_pool,min_samples_split,6,0.04478138094186849,0.019750882793047837,3.6666666666666665,decomposition
german,RF,HH,full_pool,n_estimators,6,0.0377042378457127,0.037719535825560986,4.5,decomposition
german,kNN,HH,full_pool,n_neighbors,6,0.8232682743233739,0.17374580009206206,1.0,V_m
german,kNN,HH,full_pool,p,6,0.02057833614151804,0.015831209562906436,2.0,V_m
german,kNN,HH,full_pool,weights,6,0.000774980986039475,0.0010029320137016973,3.0,V_m
german,kNN,HH,full_pool,n_neighbors,6,0.7058790549819062,0.11889025982105814,1.0,decomposition
german,kNN,HH,full_pool,p,6,0.13368897031191576,0.0765992797057639,2.0,decomposition
german,kNN,HH,full_pool,weights,6,0.004382104398792334,0.004295169419061823,3.0,decomposition
adult,RF,HH,Rashomon,max_features,9,0.7194244378097765,0.10121428635191251,1.0,V_m
adult,RF,HH,Rashomon,max_features,9,0.34312064791367536,0.1635576309668522,1.5555555555555556,decomposition
adult,RF,all,Rashomon,max_features,9,0.6685160626425595,0.11078861744878951,1.0,V_m
adult,RF,all,Rashomon,max_features,9,0.22549168062046757,0.15757644478197338,2.0,decomposition
adult,RF,non_HH,Rashomon,max_features,9,0.496816168276984,0.13604959916705467,1.3333333333333333,V_m
adult,RF,non_HH,Rashomon,max_features,9,0.19433773269488505,0.15146688756826882,2.3333333333333335,decomposition
adult,GBM,HH,Rashomon,learning_rate,10,0.29319086835997943,0.12252871714978841,1.5,V_m
adult,GBM,HH,Rashomon,max_depth,10,0.17096028138314692,0.10569903510028195,2.5,V_m
adult,GBM,HH,Rashomon,n_estimators,10,0.12988726113031346,0.12313819304247632,2.7,V_m
adult,GBM,HH,Rashomon,subsample,10,0.05618612909290035,0.06692496998842325,3.3,V_m
adult,GBM,HH,Rashomon,learning_rate,10,0.13464724948595808,0.06445623842832128,2.8,decomposition
adult,GBM,HH,Rashomon,max_depth,10,0.2762708744352532,0.050657135683335325,1.1,decomposition
adult,GBM,HH,Rashomon,n_estimators,10,0.10954624478338082,0.02619890042146131,3.3,decomposition
adult,GBM,HH,Rashomon,subsample,10,0.1284888867124099,0.026216430299027798,2.8,decomposition
adult,GBM,HH,full_pool,learning_rate,10,0.3524020806729587,0.08104290016372316,1.0,V_m
adult,GBM,HH,full_pool,max_depth,10,0.03327659555389599,0.02169276494101481,3.1,V_m
adult,GBM,HH,full_pool,n_estimators,10,0.09657295043138754,0.06098065293112722,2.3,V_m
adult,GBM,HH,full_pool,subsample,10,0.020518332283162792,0.014846762808286255,3.6,V_m
adult,GBM,HH,full_pool,learning_rate,10,0.5392712755351503,0.06614928321421422,1.0,decomposition
adult,GBM,HH,full_pool,max_depth,10,0.13173132933431822,0.0653853005969259,2.6,decomposition
adult,GBM,HH,full_pool,n_estimators,10,0.1633074364580451,0.05712227892426829,2.4,decomposition
adult,GBM,HH,full_pool,subsample,10,0.03913908296012719,0.02197142632901544,4.0,decomposition
adult,GBM,all,Rashomon,learning_rate,10,0.24670918323724544,0.08655876640052142,1.3,V_m
adult,GBM,all,Rashomon,max_depth,10,0.11687022500406692,0.09105497931043835,2.5,V_m
adult,GBM,all,Rashomon,n_estimators,10,0.1125272951913198,0.09696323614993477,2.7,V_m
