dataset,seed,family,pool_type,validation_brier,V_m,V_m_HH,V_m_nonHH,hp_C,hp_activation,hp_alpha,hp_bootstrap,hp_early_stopping,hp_hidden_layer_sizes,hp_l1_ratio,hp_learning_rate,hp_learning_rate_init,hp_max_depth,hp_max_features,hp_max_iter,hp_min_samples_leaf,hp_min_samples_split,hp_n_estimators,hp_n_iter_no_change,hp_n_jobs,hp_n_neighbors,hp_p,hp_penalty,hp_solver,hp_subsample,hp_tol,hp_weights
compas,2,MLP,full_pool,0.2153963878530545,0.004548202009030312,0.004793022347279099,0.004532494509452403,,relu,0.0001,,True,"[100, 50]",,,0.001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2175621332477407,0.0013125653750717394,0.0031968773102989305,0.0011916692553337114,,tanh,1e-05,,True,"[100, 50]",,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2234112634403221,0.004146798720942776,0.00441978712576907,0.004129283978155249,,relu,0.001,,True,[200],,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2196475755845832,0.0014858919661014335,0.0021210337147927892,0.0014451417211632713,,tanh,0.001,,True,[200],,,0.001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2176038840932519,0.0015187986919036167,0.002814124580484085,0.0014356914999371704,,tanh,0.01,,True,"[200, 100]",,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2167641990476274,0.0015809445948169573,0.0036868496588889446,0.0014458312168123383,,tanh,0.001,,True,"[100, 50]",,,0.001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2175377100780603,0.0015966987801106492,0.0020568302579078916,0.0015671770702519764,,relu,0.001,,True,"[100, 50]",,,0.001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2164429142564417,0.0009221152348497042,0.00222233583865211,0.0008386940014199038,,relu,0.0001,,True,"[200, 100]",,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2153729368929303,0.004087050479448726,0.0035583218344244845,0.004120973334992316,,relu,0.0001,,True,[100],,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2173791198839225,0.005538228216981734,0.010767521715214766,0.005202720448289791,,tanh,1e-05,,True,"[100, 50]",,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2175780006827599,0.0008281686902891986,0.0015698364203177181,0.0007805838138050678,,relu,0.01,,True,[200],,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.215601557573829,0.0033555267824510442,0.0024580225966099956,0.003413110015613413,,relu,1e-05,,True,"[100, 50]",,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2182009718918461,0.0019113285904789829,0.004376457677643228,0.0017531676534706568,,tanh,1e-05,,True,[200],,,0.001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2158589873275534,0.004324858265849362,0.003116684345081894,0.004402373849261432,,relu,0.001,,True,[200],,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2151167731301319,0.0028769222798481417,0.004299314273723032,0.0027856626165243103,,tanh,0.0001,,True,[50],,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2225531875023512,0.003117164654444566,0.006915656851921529,0.0028734560842524604,,relu,1e-05,,True,[100],,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2172035262103206,0.004730607561789718,0.0030695593199730202,0.0048371792410213214,,relu,1e-05,,True,"[200, 100]",,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2270608720153438,0.008204441287778674,0.005034759864795367,0.008407805803855037,,relu,0.001,,True,[100],,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2677764368600094,0.0502987544622412,0.16073482549277518,0.04321325432975117,,relu,0.001,,True,[50],,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2153177508440872,0.003576585933420945,0.004124881739092545,0.0035414076627030768,,tanh,0.001,,True,"[100, 50]",,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.219326002329113,0.0013258737465391282,0.0007531215785652342,0.001362621120148073,,tanh,0.0001,,True,[50],,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2159283181376496,0.0017998591753258133,0.001324571102430856,0.0018303533215956226,,relu,0.0001,,True,[50],,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2159005117681843,0.0015953449931623476,0.0027096363495454235,0.0015238528486156457,,tanh,0.001,,True,[50],,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2189260752319247,0.0014280566034557375,0.001601940769919952,0.0014169003184392283,,relu,1e-05,,True,"[100, 50]",,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2184952412351836,0.0031425293566214934,0.0028101989556636024,0.003163851439868792,,tanh,0.001,,True,"[200, 100]",,,0.001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.218739289978958,0.0019623602512224333,0.0027826987323845667,0.0019097279150416763,,tanh,0.0001,,True,"[100, 50]",,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2155490660240198,0.0027935353269003763,0.0025148885890704476,0.002811413104327518,,relu,0.01,,True,"[200, 100]",,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2173480536038383,0.0037770941350521417,0.0020174894334832887,0.0038899891269669573,,relu,1e-05,,True,[100],,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.217038127403593,0.000489966271584227,0.0006324619347643143,0.0004808238507164781,,relu,1e-05,,True,[200],,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2161473644251664,0.0016273667907627045,0.0033276589786583894,0.0015182772477339988,,relu,1e-05,,True,[50],,,0.001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2245371222960003,0.0048452963382053,0.006665432457299201,0.004728517693396179,,relu,0.01,,True,[50],,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2156316587267824,0.003017863430096213,0.003872825079892044,0.0029630096959278964,,relu,0.01,,True,[200],,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2156367474138542,0.002049831497361474,0.0014189139582852658,0.0020903107200013187,,relu,0.0001,,True,[200],,,0.01,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,MLP,full_pool,0.2178487633997393,0.003104467629324446,0.004568935769090384,0.003010508390268666,,tanh,0.01,,True,"[100, 50]",,,0.001,,,1000.0,,,,10.0,,,,,adam,,,
compas,2,RF,full_pool,0.2273025171284276,0.0038347904585793262,0.0047021153444507195,0.003779143507937135,,,,True,,,,,,,,,1.0,10.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2176993807230057,0.002068152753726389,0.0024255177088931615,0.002045224471204628,,,,True,,,,,,10.0,sqrt,,1.0,5.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2273763986125474,0.0037445457841077936,0.004498530818993378,0.0036961706380642485,,,,True,,,,,,,,,1.0,10.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2181104027229943,0.010958507451029506,0.02004981439576794,0.01037521563377859,,,,True,,,,,,5.0,sqrt,,1.0,5.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2181202857645656,0.010721191415731848,0.016975338868736922,0.010319929742862053,,,,True,,,,,,5.0,sqrt,,1.0,10.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2223383450321166,0.0027411803174336746,0.0026598630542310443,0.0027463975754710122,,,,True,,,,,,20.0,,,4.0,10.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2202128032972628,0.0016716139900874937,0.0019263754090552935,0.0016552686778085865,,,,True,,,,,,40.0,sqrt,,4.0,2.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2143659498065278,0.0074133521914615886,0.00883089292769468,0.007322403781393537,,,,True,,,,,,5.0,,,1.0,10.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2558871729630805,0.023210420553646697,0.041241952787813965,0.02205353021118906,,,,True,,,,,,40.0,log2,,1.0,2.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2230798002009545,0.003200114132410322,0.003412524704290776,0.0031864860204976375,,,,True,,,,,,20.0,,,4.0,5.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2175563445416712,0.0018618061979434643,0.002155357324741182,0.0018429721654719302,,,,True,,,,,,10.0,log2,,2.0,2.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2233799513248989,0.0021639304029358025,0.002004672818581643,0.0021741482567992332,,,,True,,,,,,40.0,sqrt,,2.0,10.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2230276737383131,0.003345158952593646,0.003645485464872876,0.0033258902161863507,,,,True,,,,,,,,,4.0,2.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2184037389204459,0.010924455001640639,0.01956667067828713,0.010369976562209778,,,,True,,,,,,5.0,log2,,1.0,5.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2331811111128524,0.007517719188838988,0.012267879932121762,0.007212952238495624,,,,True,,,,,,20.0,,,2.0,2.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2139607938672872,0.007412091847895897,0.008987904144042293,0.007310988846594469,,,,True,,,,,,5.0,,,4.0,10.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2195837571109758,0.0022975254087737825,0.0030434278283380375,0.00224966883760705,,,,True,,,,,,10.0,,,2.0,2.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2142205998907928,0.00731669151899859,0.008807293864687383,0.007221055527792893,,,,True,,,,,,5.0,,,2.0,2.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2184798589378847,0.011048246630223416,0.018818886881576142,0.010549687853034857,,,,True,,,,,,5.0,sqrt,,4.0,5.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2194319499077136,0.001567612979451498,0.0014125993952728484,0.0015775585412682697,,,,True,,,,,,20.0,sqrt,,4.0,10.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2282973415964898,0.004079125925532449,0.004866296448813368,0.004028621622047611,,,,True,,,,,,,log2,,1.0,10.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2240192354718353,0.0023578553059426556,0.001752783914858995,0.002396676258025457,,,,True,,,,,,20.0,log2,,2.0,10.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2176982335245201,0.002722601796806081,0.0027756276048501107,0.0027191996985023712,,,,True,,,,,,10.0,,,2.0,10.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2522866479370696,0.020045168714538295,0.038494952495436524,0.01886144364894969,,,,True,,,,,,,,,1.0,2.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2178174560342563,0.0017374234979118618,0.002391659308723127,0.0016954481914660065,,,,True,,,,,,10.0,sqrt,,2.0,2.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2557337769426512,0.023614102332656407,0.04278969774031751,0.02238380970694363,,,,True,,,,,,,sqrt,,1.0,2.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2184061722088562,0.010994552373626924,0.018672094114861124,0.01050196673093712,,,,True,,,,,,5.0,log2,,1.0,2.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2294037214008757,0.004219431137687903,0.0036090753289997183,0.0042585911342630295,,,,True,,,,,,,log2,,2.0,5.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2521279333080191,0.019451651040468858,0.03752277712797879,0.018292220384411806,,,,True,,,,,,,,,1.0,2.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2404898716406454,0.011423238937215256,0.018701675758331135,0.010956259583648084,,,,True,,,,,,20.0,sqrt,,1.0,5.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2141444442789045,0.00737891923229523,0.008945100036711048,0.00727843418068448,,,,True,,,,,,5.0,,,4.0,10.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2142527028386707,0.007464080164891382,0.008573755376578429,0.00739288418892031,,,,True,,,,,,5.0,,,1.0,10.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2193914214736755,0.002676656734563686,0.002507029188900957,0.002687539917803109,,,,True,,,,,,10.0,,,4.0,10.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2201913781190687,0.0017774069726172966,0.0021518476900138175,0.0017533831212799094,,,,True,,,,,,20.0,log2,,4.0,5.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2241425768777565,0.0032396488442522796,0.003488626282713559,0.003223674628067817,,,,True,,,,,,40.0,,,4.0,2.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2316479339338509,0.006844505471715282,0.010736984802381621,0.006594766753597309,,,,True,,,,,,,,,2.0,5.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2230168092364354,0.00289401567938353,0.0035516584724476917,0.0028518217833683516,,,,True,,,,,,,,,4.0,5.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2169988067348011,0.0019933397741886557,0.0023807993374553578,0.00196848064291712,,,,True,,,,,,10.0,sqrt,,2.0,2.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2171652785911879,0.0015394643556025862,0.0019902708747691618,0.0015105409284879166,,,,True,,,,,,10.0,log2,,2.0,5.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2145109101808684,0.007517954051144504,0.008732724009385793,0.007440015270637873,,,,True,,,,,,5.0,,,1.0,2.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2169664937028865,0.002402813853911881,0.004133888001755306,0.0022917493621254672,,,,True,,,,,,10.0,sqrt,,4.0,5.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2185436672432432,0.0022105654509730907,0.0022531849356876355,0.002207831015006892,,,,True,,,,,,10.0,,,2.0,10.0,200.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2271133823753826,0.004132919097290393,0.0051099419620217815,0.004070234001986831,,,,True,,,,,,,,,1.0,10.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2186404911030357,0.011238706985090942,0.01912444803207651,0.010732763422341867,,,,True,,,,,,5.0,log2,,4.0,5.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2206276380226073,0.0016789246086276774,0.0018074260138753163,0.0016706800494414352,,,,True,,,,,,40.0,log2,,4.0,2.0,100.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2307372640858684,0.0051604392237559185,0.005847581115230102,0.0051163526864710695,,,,True,,,,,,40.0,sqrt,,2.0,2.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2411226849354448,0.01144067668560071,0.018937880384485222,0.01095966140403511,,,,True,,,,,,40.0,sqrt,,1.0,5.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2141778506165451,0.0073760062327739954,0.008901729009478762,0.007278116939578337,,,,True,,,,,,5.0,,,4.0,5.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2203616625335689,0.0015011845784374898,0.0015540634335779145,0.0014977919085280374,,,,True,,,,,,20.0,sqrt,,4.0,2.0,500.0,,-1.0,,,,,,,
compas,2,RF,full_pool,0.2177551278286958,0.001719593606955883,0.0026676400949183737,0.0016587676154715641,,,,True,,,,,,10.0,log2,,2.0,5.0,200.0,,-1.0,,,,,,,
compas,2,kNN,full_pool,0.2757180343391984,0.013315735250177608,0.029409757415310215,0.012283154182060689,,,,,,,,,,,,,,,,,,90.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.2747986021440938,0.013653463287188248,0.03035591537750959,0.012581845785818075,,,,,,,,,,,,,,,,,,150.0,2.0,,,,,distance
compas,2,kNN,full_pool,0.3012589052729201,0.037322115640181196,0.04045865624774784,0.037120877415359445,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,distance
compas,2,kNN,full_pool,0.2808278324141801,0.014131574151177,0.031191135206058488,0.013037044791461151,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.2797031913015883,0.013116604409657683,0.029282316164103192,0.012079423788244144,,,,,,,,,,,,,,,,,,15.0,2.0,,,,,distance
compas,2,kNN,full_pool,0.2452945252945253,0.02005721845613169,0.027715101764002444,0.01956589408460901,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,uniform
compas,2,kNN,full_pool,0.2196138873916651,0.023677504290556508,0.0456220295014861,0.02226955908897032,,,,,,,,,,,,,,,,,,90.0,2.0,,,,,uniform
compas,2,kNN,full_pool,0.2197292446292446,0.023908076055881522,0.04617133644409934,0.022479681030973742,,,,,,,,,,,,,,,,,,100.0,2.0,,,,,uniform
compas,2,kNN,full_pool,0.276783006672545,0.012759537579744866,0.028604882395259105,0.011742911474324704,,,,,,,,,,,,,,,,,,30.0,2.0,,,,,distance
compas,2,kNN,full_pool,0.2875021075717354,0.02085986452997916,0.03627788940675934,0.019870654969300787,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.2785991970416919,0.012704072834387964,0.028900765391522667,0.0116649045066072,,,,,,,,,,,,,,,,,,20.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.27859825957516,0.012843166473218403,0.029060851484506482,0.01180265128444107,,,,,,,,,,,,,,,,,,20.0,2.0,,,,,distance
compas,2,kNN,full_pool,0.21957227997228,0.022103901948337366,0.04705690256140783,0.02050293509484391,,,,,,,,,,,,,,,,,,50.0,2.0,,,,,uniform
compas,2,kNN,full_pool,0.2416077616077616,0.02013218957633001,0.025009617293552715,0.01981925726703918,,,,,,,,,,,,,,,,,,5.0,2.0,,,,,uniform
compas,2,kNN,full_pool,0.2222717794717794,0.025732645248424873,0.05068274498741338,0.0241318645129588,,,,,,,,,,,,,,,,,,150.0,1.0,,,,,uniform
compas,2,kNN,full_pool,0.2769980299495132,0.012662300848102376,0.028445581737897303,0.011649656720217304,,,,,,,,,,,,,,,,,,30.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.2756332578182319,0.012991469115028537,0.028809421279625887,0.011976600502698179,,,,,,,,,,,,,,,,,,50.0,2.0,,,,,distance
compas,2,kNN,full_pool,0.2224008624008624,0.02094681326868729,0.037858984873218406,0.01986174031175941,,,,,,,,,,,,,,,,,,30.0,2.0,,,,,uniform
compas,2,kNN,full_pool,0.2352949495806638,0.018162898622942035,0.033491344521389535,0.017179436386094742,,,,,,,,,,,,,,,,,,7.0,2.0,,,,,uniform
compas,2,kNN,full_pool,0.2688072688072688,0.0354238575576475,0.02958214989497726,0.03579865738556219,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,uniform
compas,2,kNN,full_pool,0.2778926721525353,0.012630616423554328,0.028584188858155345,0.011607046510714881,,,,,,,,,,,,,,,,,,25.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.227994147994148,0.0186719695101768,0.0331294296298019,0.017744389104271646,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,uniform
compas,2,kNN,full_pool,0.2758915260938528,0.013779552807510326,0.03067857916879546,0.012695323240082743,,,,,,,,,,,,,,,,,,150.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.2237937629937629,0.020253232048672666,0.039096043055194075,0.019044290634537442,,,,,,,,,,,,,,,,,,25.0,1.0,,,,,uniform
compas,2,kNN,full_pool,0.2760704341858819,0.012881404561872676,0.028613841723906155,0.01187202253156522,,,,,,,,,,,,,,,,,,50.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.2193403865403865,0.024839531122522858,0.05023577513220222,0.023210126086503607,,,,,,,,,,,,,,,,,,150.0,2.0,,,,,uniform
compas,2,kNN,full_pool,0.22004752004752,0.022977200290546493,0.04528688748337578,0.021545826554723375,,,,,,,,,,,,,,,,,,70.0,2.0,,,,,uniform
compas,2,kNN,full_pool,0.2325086625086625,0.017363505806309635,0.03398794374826324,0.016296893637467478,,,,,,,,,,,,,,,,,,10.0,2.0,,,,,uniform
compas,2,kNN,full_pool,0.2335897435897436,0.017279227329552855,0.03461711596833627,0.01616684066909994,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,uniform
compas,2,kNN,full_pool,0.2361010932439504,0.018194618793744132,0.03535674527768277,0.017093508908712675,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,uniform
compas,2,kNN,full_pool,0.2796492380906362,0.013092340924237895,0.029392540100750385,0.012046531685036874,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.2755595421477138,0.013121562303166944,0.02895453887466597,0.01210572973552652,,,,,,,,,,,,,,,,,,70.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.2212191268191268,0.021872486770833904,0.042217217569204095,0.02056718324615971,,,,,,,,,,,,,,,,,,50.0,1.0,,,,,uniform
compas,2,kNN,full_pool,0.2210278586278586,0.024212712535306578,0.04649131672152225,0.022783333063182122,,,,,,,,,,,,,,,,,,100.0,1.0,,,,,uniform
compas,2,kNN,full_pool,0.2802232191355871,0.013966492082597051,0.030461166677504915,0.01290820543823349,,,,,,,,,,,,,,,,,,10.0,2.0,,,,,distance
compas,2,kNN,full_pool,0.2998902399763669,0.03766056543937174,0.04194415788879522,0.037385733180448556,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.2283391083391083,0.018272014863124967,0.032678011128055774,0.017347736341702415,,,,,,,,,,,,,,,,,,15.0,2.0,,,,,uniform
compas,2,kNN,full_pool,0.285560622886806,0.02057277428672172,0.03318066831393815,0.01976386073187819,,,,,,,,,,,,,,,,,,5.0,2.0,,,,,distance
compas,2,kNN,full_pool,0.2830302522489082,0.01684444130928392,0.033922717644722,0.015748711190417316,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.2821965974484511,0.016531564963810204,0.03202204265830914,0.015537706881641026,,,,,,,,,,,,,,,,,,7.0,2.0,,,,,distance
compas,2,kNN,full_pool,0.2756035143051187,0.01340089425924682,0.029694395898503652,0.0123555147292945,,,,,,,,,,,,,,,,,,100.0,1.0,,,,,distance
compas,2,kNN,full_pool,0.2220905520905521,0.020803999529945143,0.03660068414470397,0.019790495428555748,,,,,,,,,,,,,,,,,,30.0,1.0,,,,,uniform
compas,2,kNN,full_pool,0.2207606752051196,0.023800479068664022,0.04510597589762151,0.022433533475655684,,,,,,,,,,,,,,,,,,90.0,1.0,,,,,uniform
compas,2,kNN,full_pool,0.2679602679602679,0.03553912501538296,0.02942857697505398,0.03593117345159877,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,uniform
