dataset,family,pool_type,hp,mean_delta,std_delta,n_seeds
german,LogReg,full_pool,l1_ratio,0.0023746321687369122,0.005297325426473796,6
german,LogReg,full_pool,C,-0.0041259716017273225,0.005559555384517322,6
