dataset,family,subset,hp_name,rashomon_mean_importance,full_pool_mean_importance,rashomon_mean_rank,full_pool_mean_rank,rashomon_n_seeds,full_pool_n_seeds,rashomon_std_importance,full_pool_std_importance,delta_rashomon_minus_full,abs_delta
german,RF,all,n_estimators,0.2900294874498461,0.05700043966264986,2.1,4.0,10,10,0.18183656270041373,0.0655237241644231,0.23302904778719621,0.23302904778719621
german,RF,all,min_samples_leaf,0.12989570485472385,0.040863491316036435,3.5,3.8,10,10,0.10693836365046176,0.030241855289028598,0.08903221353868741,0.08903221353868741
german,RF,all,min_samples_split,0.10398750239369656,0.039569866723929606,3.4,4.0,10,10,0.07166962992585925,0.03205602744286848,0.06441763566976695,0.06441763566976695
