dataset,family,subset,hp_name,rashomon_mean_importance,full_pool_mean_importance,rashomon_mean_rank,full_pool_mean_rank,delta_rashomon_minus_full
compas,LogReg,all,l1_ratio,0.1073165185784529,0.05891133322260759,2.0,2.0,0.04840518535584531
compas,LogReg,all,C,0.8620473464507702,0.9262915203106636,1.0,1.0,-0.06424417385989345
