feature,grid_value,predicted_V_m,n_background_rows
hp_C,1e-05,0.005723543518162869,100
hp_C,3.359818286283781e-05,0.005723543518162869,100
hp_C,0.00011288378916846884,0.005723543518162869,100
hp_C,0.000379269019073225,0.005704189766551606,100
hp_C,0.0012742749857031334,0.004946921029440751,100
hp_C,0.004281332398719391,0.004841691216537738,100
hp_C,0.01438449888287663,0.005000850178716059,100
hp_C,0.04832930238571752,0.005767321227469041,100
hp_C,0.1623776739188721,0.006132746033900185,100
hp_C,0.5455594781168515,0.006196944077777968,100
hp_C,1.8329807108324339,0.006217924345696684,100
hp_C,6.1584821106602545,0.00622825806509707,100
hp_C,20.6913808111479,0.0062328928708018086,100
hp_C,69.51927961775606,0.006233712792281254,100
hp_C,233.57214690901213,0.006234517544559984,100
hp_C,784.7599703514607,0.006234591384993973,100
hp_C,2636.6508987303555,0.006234591563513537,100
hp_C,8858.667904100832,0.006234600838276692,100
hp_C,29763.51441631313,0.0062346030001905126,100
hp_C,100000.0,0.006234603557996004,100
