dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
compas,0,Rashomon,all,MLP,alpha,,vm_between_group_ratio,0.21664510807443538
compas,0,Rashomon,all,MLP,activation,,vm_between_group_ratio,2.900580755580714e-06
compas,0,Rashomon,all,RF,max_depth,,vm_between_group_ratio,0.4041084799289725
compas,0,Rashomon,all,RF,min_samples_leaf,,vm_between_group_ratio,0.2346670336296504
compas,0,Rashomon,all,RF,n_estimators,,vm_between_group_ratio,0.09673904286438335
compas,0,Rashomon,all,RF,min_samples_split,,vm_between_group_ratio,0.07208840902809663
compas,0,Rashomon,all,RF,max_features,,vm_between_group_ratio,0.025890266215171664
compas,0,Rashomon,all,kNN,n_neighbors,,vm_between_group_ratio,0.7767825087213966
compas,0,Rashomon,all,kNN,weights,,vm_between_group_ratio,0.38191045279786257
compas,0,Rashomon,all,kNN,p,,vm_between_group_ratio,0.013739825968506716
compas,0,Rashomon,HH,GBM,learning_rate,,vm_between_group_ratio,0.06769535521262293
compas,0,Rashomon,HH,GBM,subsample,,vm_between_group_ratio,0.06302253819779868
compas,0,Rashomon,HH,GBM,max_depth,,vm_between_group_ratio,0.0612610300564872
compas,0,Rashomon,HH,GBM,n_estimators,,vm_between_group_ratio,0.053459591449605035
compas,0,Rashomon,HH,LogReg,C,,vm_between_group_ratio,0.6528256205914712
compas,0,Rashomon,HH,LogReg,l1_ratio,,vm_between_group_ratio,0.056802663412322166
compas,0,Rashomon,HH,MLP,learning_rate_init,,vm_between_group_ratio,0.22694000991812371
compas,0,Rashomon,HH,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.17193053439924053
compas,0,Rashomon,HH,MLP,alpha,,vm_between_group_ratio,0.16733048235296064
compas,0,Rashomon,HH,MLP,activation,,vm_between_group_ratio,0.011592713974598367
compas,0,Rashomon,HH,RF,max_depth,,vm_between_group_ratio,0.32625065976292666
compas,0,Rashomon,HH,RF,min_samples_leaf,,vm_between_group_ratio,0.21452195162808121
compas,0,Rashomon,HH,RF,n_estimators,,vm_between_group_ratio,0.13384790641847943
compas,0,Rashomon,HH,RF,min_samples_split,,vm_between_group_ratio,0.023749907540115738
compas,0,Rashomon,HH,RF,max_features,,vm_between_group_ratio,0.01428139302284737
compas,0,Rashomon,HH,kNN,n_neighbors,,vm_between_group_ratio,0.8966335343238655
compas,0,Rashomon,HH,kNN,weights,,vm_between_group_ratio,0.19137541408618472
compas,0,Rashomon,HH,kNN,p,,vm_between_group_ratio,0.007843705463559803
compas,0,Rashomon,non_HH,GBM,max_depth,,vm_between_group_ratio,0.12960731374863368
compas,0,Rashomon,non_HH,GBM,n_estimators,,vm_between_group_ratio,0.11863400099571195
compas,0,Rashomon,non_HH,GBM,subsample,,vm_between_group_ratio,0.08295109144056192
compas,0,Rashomon,non_HH,GBM,learning_rate,,vm_between_group_ratio,0.04877085821388681
compas,0,Rashomon,non_HH,LogReg,C,,vm_between_group_ratio,0.6642052218614046
compas,0,Rashomon,non_HH,LogReg,l1_ratio,,vm_between_group_ratio,0.05344065695158403
compas,0,Rashomon,non_HH,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.3541364663532999
compas,0,Rashomon,non_HH,MLP,learning_rate_init,,vm_between_group_ratio,0.3022514497742319
compas,0,Rashomon,non_HH,MLP,alpha,,vm_between_group_ratio,0.21479784785921746
compas,0,Rashomon,non_HH,MLP,activation,,vm_between_group_ratio,0.00043577113710589353
compas,0,Rashomon,non_HH,RF,max_depth,,vm_between_group_ratio,0.31592760192104896
compas,0,Rashomon,non_HH,RF,min_samples_leaf,,vm_between_group_ratio,0.13450232374221724
compas,0,Rashomon,non_HH,RF,min_samples_split,,vm_between_group_ratio,0.10865953940790929
compas,0,Rashomon,non_HH,RF,n_estimators,,vm_between_group_ratio,0.04607282539633273
compas,0,Rashomon,non_HH,RF,max_features,,vm_between_group_ratio,0.027710168860528926
compas,0,Rashomon,non_HH,kNN,n_neighbors,,vm_between_group_ratio,0.762947060392687
compas,0,Rashomon,non_HH,kNN,weights,,vm_between_group_ratio,0.4029745614311597
compas,0,Rashomon,non_HH,kNN,p,,vm_between_group_ratio,0.014358761039825647
compas,1,Rashomon,all,__global__,__family__,model_name,ratio_of_sums,0.43824886545736835
compas,1,Rashomon,all,__global__,__family__,model_name,mean_ratio,0.38881921732451746
compas,1,Rashomon,HH,__global__,__family__,model_name,ratio_of_sums,0.5237896682184477
compas,1,Rashomon,HH,__global__,__family__,model_name,mean_ratio,0.4989442491746845
compas,1,Rashomon,non_HH,__global__,__family__,model_name,ratio_of_sums,0.4152820868916567
compas,1,Rashomon,non_HH,__global__,__family__,model_name,mean_ratio,0.37689323461263313
compas,1,Rashomon,all,GBM,learning_rate,,decomp_ratio_of_sums,0.24594414132407655
compas,1,Rashomon,all,GBM,max_depth,,decomp_ratio_of_sums,0.19463371669799862
compas,1,Rashomon,all,GBM,subsample,,decomp_ratio_of_sums,0.07772237860252304
compas,1,Rashomon,all,GBM,n_estimators,,decomp_ratio_of_sums,0.06690611006507514
compas,1,Rashomon,all,LogReg,C,,decomp_ratio_of_sums,0.9050692101591129
compas,1,Rashomon,all,LogReg,l1_ratio,,decomp_ratio_of_sums,0.08421658703892348
compas,1,Rashomon,all,MLP,learning_rate_init,,decomp_ratio_of_sums,0.2983355770824015
compas,1,Rashomon,all,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.15221848437816227
compas,1,Rashomon,all,MLP,activation,,decomp_ratio_of_sums,0.1335660473292391
compas,1,Rashomon,all,MLP,alpha,,decomp_ratio_of_sums,0.10066097999856403
compas,1,Rashomon,all,RF,max_depth,,decomp_ratio_of_sums,0.6116775934129052
compas,1,Rashomon,all,RF,max_features,,decomp_ratio_of_sums,0.27842233580405956
compas,1,Rashomon,all,RF,min_samples_leaf,,decomp_ratio_of_sums,0.13491149434887997
compas,1,Rashomon,all,RF,n_estimators,,decomp_ratio_of_sums,0.086114652519865
compas,1,Rashomon,all,RF,min_samples_split,,decomp_ratio_of_sums,0.03549624106142753
compas,1,Rashomon,all,kNN,n_neighbors,,decomp_ratio_of_sums,0.7614205805411995
compas,1,Rashomon,all,kNN,weights,,decomp_ratio_of_sums,0.22302488291605774
compas,1,Rashomon,all,kNN,p,,decomp_ratio_of_sums,0.026413433048867126
compas,1,Rashomon,HH,GBM,max_depth,,decomp_ratio_of_sums,0.20648833477101483
compas,1,Rashomon,HH,GBM,learning_rate,,decomp_ratio_of_sums,0.20378235159078936
compas,1,Rashomon,HH,GBM,subsample,,decomp_ratio_of_sums,0.08709516724334349
compas,1,Rashomon,HH,GBM,n_estimators,,decomp_ratio_of_sums,0.05926539065492174
compas,1,Rashomon,HH,LogReg,C,,decomp_ratio_of_sums,0.8303499389433763
compas,1,Rashomon,HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.08841022692410089
compas,1,Rashomon,HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.3590900711994083
compas,1,Rashomon,HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.1788338637689351
compas,1,Rashomon,HH,MLP,activation,,decomp_ratio_of_sums,0.11721720317318492
