dataset,family,subset,hp_name,rashomon_mean_importance,full_pool_mean_importance,rashomon_mean_rank,full_pool_mean_rank,rashomon_n_seeds,full_pool_n_seeds,rashomon_std_importance,full_pool_std_importance,delta_rashomon_minus_full,abs_delta
compas,LogReg,all,C,0.469236513058357,0.4157299322912157,1.0,1.0,10,10,0.26321590032432896,0.09544786427407041,0.05350658076714132,0.05350658076714132
compas,LogReg,all,l1_ratio,0.06822170667782257,0.03175585587808007,2.0,2.0,10,10,0.0497153183424786,0.021763519720938818,0.036465850799742495,0.036465850799742495
