run,n_components,max_component_size,mean_hh_fraction,mean_jaccard,min_jaccard,max_jaccard,hh_support_size,hh_support_mean_f,hh_support_median_f,hh_support_bucket_00_02,hh_support_bucket_02_05,hh_support_bucket_05_08,hh_support_bucket_08_10,hh_support_bucket_00_02_frac,hh_support_bucket_02_05_frac,hh_support_bucket_05_08_frac,hh_support_bucket_08_10_frac,hh_core_to_support_ratio
seed=0,2,394,0.05013819224076159,0.42284907482997197,0.2646341463414634,0.5226917057902973,0.12539666291329715,0.39983673469387754,0.3,558.0,316.0,172.0,179.0,0.4555102040816327,0.25795918367346937,0.14040816326530614,0.14612244897959184,0.3575510204081633
seed=1,3,471,0.05013819224076159,0.42284907482997197,0.2646341463414634,0.5226917057902973,0.12539666291329715,0.39983673469387754,0.3,558.0,316.0,172.0,179.0,0.4555102040816327,0.25795918367346937,0.14040816326530614,0.14612244897959184,0.3575510204081633
seed=2,2,239,0.05013819224076159,0.42284907482997197,0.2646341463414634,0.5226917057902973,0.12539666291329715,0.39983673469387754,0.3,558.0,316.0,172.0,179.0,0.4555102040816327,0.25795918367346937,0.14040816326530614,0.14612244897959184,0.3575510204081633
seed=3,2,533,0.05013819224076159,0.42284907482997197,0.2646341463414634,0.5226917057902973,0.12539666291329715,0.39983673469387754,0.3,558.0,316.0,172.0,179.0,0.4555102040816327,0.25795918367346937,0.14040816326530614,0.14612244897959184,0.3575510204081633
seed=4,2,443,0.05013819224076159,0.42284907482997197,0.2646341463414634,0.5226917057902973,0.12539666291329715,0.39983673469387754,0.3,558.0,316.0,172.0,179.0,0.4555102040816327,0.25795918367346937,0.14040816326530614,0.14612244897959184,0.3575510204081633
seed=5,2,423,0.05013819224076159,0.42284907482997197,0.2646341463414634,0.5226917057902973,0.12539666291329715,0.39983673469387754,0.3,558.0,316.0,172.0,179.0,0.4555102040816327,0.25795918367346937,0.14040816326530614,0.14612244897959184,0.3575510204081633
seed=6,1,300,0.05013819224076159,0.42284907482997197,0.2646341463414634,0.5226917057902973,0.12539666291329715,0.39983673469387754,0.3,558.0,316.0,172.0,179.0,0.4555102040816327,0.25795918367346937,0.14040816326530614,0.14612244897959184,0.3575510204081633
seed=7,2,406,0.05013819224076159,0.42284907482997197,0.2646341463414634,0.5226917057902973,0.12539666291329715,0.39983673469387754,0.3,558.0,316.0,172.0,179.0,0.4555102040816327,0.25795918367346937,0.14040816326530614,0.14612244897959184,0.3575510204081633
seed=8,4,189,0.05013819224076159,0.42284907482997197,0.2646341463414634,0.5226917057902973,0.12539666291329715,0.39983673469387754,0.3,558.0,316.0,172.0,179.0,0.4555102040816327,0.25795918367346937,0.14040816326530614,0.14612244897959184,0.3575510204081633
seed=9,2,669,0.05013819224076159,0.42284907482997197,0.2646341463414634,0.5226917057902973,0.12539666291329715,0.39983673469387754,0.3,558.0,316.0,172.0,179.0,0.4555102040816327,0.25795918367346937,0.14040816326530614,0.14612244897959184,0.3575510204081633
