run,n_components,max_component_size,mean_hh_fraction,mean_jaccard,min_jaccard,max_jaccard,hh_support_size,hh_support_mean_f,hh_support_median_f,hh_support_bucket_00_02,hh_support_bucket_02_05,hh_support_bucket_05_08,hh_support_bucket_08_10,hh_support_bucket_00_02_frac,hh_support_bucket_02_05_frac,hh_support_bucket_05_08_frac,hh_support_bucket_08_10_frac,hh_core_to_support_ratio
seed=0,3,81,0.056133056133056136,0.33948263667837825,0.05217391304347826,0.6176470588235294,0.17186417186417186,0.32661290322580644,0.2,149.0,48.0,27.0,24.0,0.6008064516129032,0.1935483870967742,0.10887096774193548,0.0967741935483871,0.2620967741935484
seed=1,4,28,0.056133056133056136,0.33948263667837825,0.05217391304347826,0.6176470588235294,0.17186417186417186,0.32661290322580644,0.2,149.0,48.0,27.0,24.0,0.6008064516129032,0.1935483870967742,0.10887096774193548,0.0967741935483871,0.2620967741935484
seed=2,3,32,0.056133056133056136,0.33948263667837825,0.05217391304347826,0.6176470588235294,0.17186417186417186,0.32661290322580644,0.2,149.0,48.0,27.0,24.0,0.6008064516129032,0.1935483870967742,0.10887096774193548,0.0967741935483871,0.2620967741935484
seed=3,1,33,0.056133056133056136,0.33948263667837825,0.05217391304347826,0.6176470588235294,0.17186417186417186,0.32661290322580644,0.2,149.0,48.0,27.0,24.0,0.6008064516129032,0.1935483870967742,0.10887096774193548,0.0967741935483871,0.2620967741935484
seed=4,5,41,0.056133056133056136,0.33948263667837825,0.05217391304347826,0.6176470588235294,0.17186417186417186,0.32661290322580644,0.2,149.0,48.0,27.0,24.0,0.6008064516129032,0.1935483870967742,0.10887096774193548,0.0967741935483871,0.2620967741935484
seed=5,1,36,0.056133056133056136,0.33948263667837825,0.05217391304347826,0.6176470588235294,0.17186417186417186,0.32661290322580644,0.2,149.0,48.0,27.0,24.0,0.6008064516129032,0.1935483870967742,0.10887096774193548,0.0967741935483871,0.2620967741935484
seed=6,4,70,0.056133056133056136,0.33948263667837825,0.05217391304347826,0.6176470588235294,0.17186417186417186,0.32661290322580644,0.2,149.0,48.0,27.0,24.0,0.6008064516129032,0.1935483870967742,0.10887096774193548,0.0967741935483871,0.2620967741935484
seed=7,6,31,0.056133056133056136,0.33948263667837825,0.05217391304347826,0.6176470588235294,0.17186417186417186,0.32661290322580644,0.2,149.0,48.0,27.0,24.0,0.6008064516129032,0.1935483870967742,0.10887096774193548,0.0967741935483871,0.2620967741935484
seed=8,5,60,0.056133056133056136,0.33948263667837825,0.05217391304347826,0.6176470588235294,0.17186417186417186,0.32661290322580644,0.2,149.0,48.0,27.0,24.0,0.6008064516129032,0.1935483870967742,0.10887096774193548,0.0967741935483871,0.2620967741935484
seed=9,3,26,0.056133056133056136,0.33948263667837825,0.05217391304347826,0.6176470588235294,0.17186417186417186,0.32661290322580644,0.2,149.0,48.0,27.0,24.0,0.6008064516129032,0.1935483870967742,0.10887096774193548,0.0967741935483871,0.2620967741935484
