k,moran_i,p_value
5,0.45178498979190274,0.0
10,0.32740744950031186,0.0
20,0.22337964302070568,0.0
30,0.1775650158771311,0.0
50,0.13402340282471245,0.0
75,0.12268881186034773,0.0
