family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums
LogReg,C,hp_C,25,25,10,0.879626901713158,0.8798930708846882,0.8825087352463705,0.8801493601233243
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.04564844643985261,0.045612684161975905,0.04607651279098389,0.04571594527293003
