dataset,mean_pval,frac_sig,margin_hh,margin_non_hh
breast_cancer,0.0003416942528239656,1.0,0.37984231671374274,0.4834007165645187
compas,0.5883306282578734,0.3,0.19372269044106633,0.1778015953692755
german,0.1477804630031969,0.5714285714285714,0.15502644989603184,0.25629144496170775
