run,n_components,max_component_size,mean_hh_fraction,mean_jaccard,min_jaccard,max_jaccard
seed=0,0,0,0.014000000000000002,0.0,0.0,0.0
seed=1,0,0,0.014000000000000002,0.0,0.0,0.0
seed=2,0,0,0.014000000000000002,0.0,0.0,0.0
seed=3,0,0,0.014000000000000002,0.0,0.0,0.0
seed=4,0,0,0.014000000000000002,0.0,0.0,0.0
seed=5,0,0,0.014000000000000002,0.0,0.0,0.0
seed=6,0,0,0.014000000000000002,0.0,0.0,0.0
seed=7,0,0,0.014000000000000002,0.0,0.0,0.0
seed=8,0,0,0.014000000000000002,0.0,0.0,0.0
seed=9,1,6,0.014000000000000002,0.0,0.0,0.0
