dataset,method,moran_i,p_value,n_hh
compas,euclidean,0.11281031930651406,0.0,18
compas,pca,0.1125141236362539,0.0,18
german,euclidean,0.0913562955661258,0.0,1
german,pca,0.1279563083476092,0.0,1
breast_cancer,euclidean,0.039176120384603955,0.02512562814070352,0
breast_cancer,pca,0.039415683226625566,0.02512562814070352,0
