run,brier_before,brier_after,brier_improvement,mean_variance_before,mean_variance_after,delta_mean_variance,mean_conflict_before,mean_conflict_after,delta_mean_conflict,moran_i_before,moran_i_after,delta_moran_i,n_HH_before,n_HH_after,delta_n_HH,ambiguity_before,ambiguity_after,disagreement_rate_before,disagreement_rate_after,discrepancy_before,discrepancy_after,jaccard_HH_before_after,n_components_before,n_components_after,max_component_size_before,max_component_size_after,dataset
seed=0,0.08887872696937048,0.09118987499119015,-0.00231114802181967,0.0014609066872039932,0.0017543043739239102,0.00029339768671991697,0.01650117719316204,0.016099907871839493,-0.00040126932132254767,0.05635346254773005,0.06388597380277819,0.007532511255048141,68,94,26,0.09536003314435475,0.08729330347493644,0.1387456921554577,0.12099191319479988,0.04569209428382472,0.0386080206367291,0.4594594594594595,4,3,18,49,adult
seed=1,0.08740838339931373,0.08935670160500506,-0.0019483182056913295,0.0013062345471514846,0.0015595514561159535,0.00025331690896446897,0.01674685228784932,0.01579690858839185,-0.0009499436994574693,0.10398422357095437,0.10558949129525269,0.0016052677242983232,281,324,43,0.09791382617661634,0.08639749630749645,0.14232708909134337,0.12254068993755758,0.05461649923745174,0.043682568274383556,0.5552699228791774,4,2,154,259,adult
seed=2,0.08791947314989682,0.0908667887255176,-0.002947315575620779,0.0014744379020901403,0.0017644104245600973,0.00028997252246995694,0.01800798444057734,0.017172689118640595,-0.0008352953219367444,0.08996749465639362,0.08947670390351987,-0.0004907907528737404,220,231,11,0.10148248544651951,0.08862036991132584,0.15116252089944382,0.12422015218207254,0.06162973730335732,0.04898781337141737,0.39628482972136225,5,5,90,147,adult
seed=3,0.08996289625388527,0.09253944025723287,-0.0025765440033476,0.0015871351217670961,0.001890351359123323,0.00030321623735622694,0.019060292762821167,0.018044835704780427,-0.0010154570580407397,0.11810092459878799,0.10784070804871353,-0.01026021655007446,228,193,-35,0.10093221440509077,0.08891574949521602,0.15934281912171153,0.13163851639540042,0.05675004211638693,0.047306850453974154,0.39867109634551495,4,5,92,129,adult
seed=4,0.08886449151827921,0.09148026334850445,-0.0026157718302252386,0.0014332442868130342,0.0016892967985224169,0.00025605251170938265,0.018134916572832428,0.01733647251509878,-0.0007984440577336466,0.07631030073995639,0.07852133916870895,0.0022110384287525597,217,225,8,0.09902719966463741,0.0862944810800979,0.1504425563858464,0.12607431671614291,0.053568434822244895,0.04401280515595068,0.3516819571865443,5,4,97,144,adult
seed=5,0.08890474385379449,0.0919117076116217,-0.003006963757827219,0.001453907975979589,0.00177863737430946,0.000324729398329871,0.017500255911556968,0.01713993243934896,-0.000360323472208008,0.07831411981281179,0.07733288104620842,-0.0009812387666033734,184,197,13,0.09529980150643008,0.08748695391916941,0.1449452349268093,0.12564131436175657,0.04569443866020833,0.04023073773120039,0.44866920152091255,6,3,81,157,adult
seed=6,0.08816614592333236,0.09083256112323465,-0.0026664151999022945,0.0011499394786707163,0.0015163366977024913,0.000366397219031775,0.01635786672126113,0.015366977172689119,-0.0009908895485720107,0.06162025157817345,0.05973221588254276,-0.0018880356956306882,147,138,-9,0.08483971804952219,0.07710908207903007,0.12750912751219845,0.11472446855700001,0.04811451353753768,0.039383965146799954,0.35071090047393366,4,6,60,73,adult
seed=7,0.08793897769359885,0.09035251434043458,-0.0024135366468357317,0.001443741884722558,0.0018551501741052327,0.00041140828938267477,0.01798341693110861,0.017578053024874606,-0.00040536390623400337,0.10824070171268657,0.11395971267327028,0.005719010960583706,269,336,67,0.10422118972027491,0.09518143743703966,0.1507629576551677,0.13105981506124814,0.06254363483170225,0.05215577892111516,0.4792176039119804,4,4,190,289,adult
seed=8,0.08825210927315767,0.09109763206374269,-0.0028455227905850172,0.0012777114929427122,0.0016127023457150108,0.0003349908527722986,0.016038489098167675,0.01574367898454294,-0.00029481011362473414,0.04522847021376069,0.06067938521698489,0.015450915003224201,69,94,25,0.08588559504836721,0.07945931338914118,0.12242877128331116,0.11223564336165419,0.04392637660194252,0.037485913244678364,0.45535714285714285,2,3,32,45,adult
seed=9,0.08945314289272083,0.09205920857093565,-0.0026060656782148223,0.0012437372844397519,0.0015418575337376307,0.0002981202492978788,0.01577643566383458,0.015567611833350396,-0.0002088238304841835,0.07533058567356264,0.0754948491560328,0.00016426348247015887,158,159,1,0.09646143768735908,0.08589975249822673,0.13572764186030642,0.11833077421776367,0.053630191661184025,0.04449287249816165,0.3722943722943723,3,6,59,85,adult
seed=0,0.027180361620185688,0.02517555677106597,0.002004804849119718,0.0035320450420748264,0.006700094514254634,0.0031680494721798074,0.016140350877192983,0.013684210526315788,-0.0024561403508771944,0.03369525455104836,0.008240965394106292,-0.02545428915694207,0,0,0,0.10956664660039177,0.08257969609013481,0.16511695906432747,0.052748538011695906,0.06732501051544972,0.05430314371303215,1.0,0,0,0,0,breast_cancer
seed=1,0.018561440075637876,0.01674229025712248,0.001819149818515397,0.0029419790453446043,0.00731479049374206,0.004372811448397455,0.012982456140350877,0.015438596491228073,0.002456140350877196,0.04337892444916387,0.037371127178192534,-0.006007797270971338,0,0,0,0.0795424559670554,0.0813976567636448,0.10926900584795322,0.0525438596491228,0.04477330025492076,0.0571080250858107,1.0,0,0,0,0,breast_cancer
seed=2,0.01787298466077469,0.019905949853682752,-0.002032965192908062,0.0032487118122231703,0.004296681240800595,0.0010479694285774246,0.006666666666666667,0.006666666666666667,0.0,0.06546624650505298,0.0358493421465545,-0.02961690435849848,4,3,-1,0.09198827836506634,0.07958600616967385,0.09900584795321635,0.029502923976608184,0.060629052260913065,0.05104062975247155,0.75,0,0,0,0,breast_cancer
seed=3,0.017668213176025876,0.016381304605353954,0.0012869085706719227,0.006453415851812288,0.011635771554517772,0.005182355702705484,0.01719298245614035,0.018947368421052633,0.0017543859649122827,0.019527635014319464,0.02353098569361884,0.0040033506792993764,0,0,0,0.1120072267849379,0.10679380776812178,0.13614035087719298,0.04786549707602339,0.07374585598763939,0.07543111035998075,1.0,0,0,0,0,breast_cancer
seed=4,0.025152667599694936,0.02867807020890598,-0.003525402609211043,0.0013094593587432868,0.0016544834068993937,0.0003450240481561069,0.0038596491228070177,0.003508771929824562,-0.00035087719298245584,0.002489192903864461,0.0024483005346202934,-4.089236924416763e-05,0,0,0,0.0412389042978538,0.04331415844288589,0.03143274853801169,0.015584795321637425,0.029971085531834765,0.032096565660902236,1.0,0,0,0,0,breast_cancer
seed=5,0.017339523705396282,0.016939922760657245,0.00039960094473903696,0.0004985208917935627,0.000523249545989159,2.4728654195596252e-05,0.0014035087719298249,0.0017543859649122814,0.0003508771929824565,0.05196304151032685,-0.01277975685768662,-0.06474279836801347,9,0,-9,0.040334433337869215,0.02866855565871951,0.04491228070175438,0.01461988304093567,0.028527785573227413,0.01810588900919493,0.0,1,0,9,0,breast_cancer
seed=6,0.014210351435350248,0.014074719213129156,0.00013563222222109234,0.0025604917871842915,0.005196033045501531,0.002635541258317239,0.010877192982456138,0.014385964912280703,0.0035087719298245654,0.034069699874431786,0.01913974922110366,-0.014929950653328125,0,0,0,0.09000611803666839,0.0697816845144604,0.14154970760233918,0.04505847953216374,0.06095177551981251,0.05010979217047508,1.0,0,0,0,0,breast_cancer
seed=7,0.021707454671150025,0.025080682167278295,-0.00337322749612827,0.008919644281133891,0.011657335214896872,0.002737690933762981,0.030175438596491227,0.02912280701754386,-0.0010526315789473675,0.0435149073688065,0.03616376424281189,-0.007351143125994608,0,0,0,0.12148692840080143,0.11366575646689372,0.12140350877192982,0.07073099415204678,0.0713021179474774,0.07650751356023387,1.0,0,0,0,0,breast_cancer
seed=8,0.017475056053012833,0.0180882992107599,-0.0006132431577470683,0.0008625625549567236,0.0016524304110196954,0.0007898678560629718,0.004912280701754385,0.007017543859649123,0.0021052631578947377,0.019116202385879334,0.029621110454993972,0.010504908069114638,3,1,-2,0.04429830432660593,0.04294894356156879,0.033128654970760237,0.02453216374269006,0.03575797293105657,0.031683178677104386,0.3333333333333333,0,0,0,0,breast_cancer
seed=9,0.008538695441844539,0.0080562622232905,0.0004824332185540386,0.0014913943268504073,0.002306047251907059,0.0008146529250566516,0.011228070175438597,0.003157894736842105,-0.008070175438596491,0.0022471854161930653,0.007940904248817755,0.00569371883262469,0,0,0,0.0450021633373207,0.04229497381473998,0.052309941520467834,0.03359649122807017,0.033113405099187816,0.033538459564070616,1.0,0,0,0,0,breast_cancer
seed=0,0.21301402985920873,0.21225137743200342,0.0007626524272053015,0.0008409453700273324,0.0006112917682295996,-0.00022965360179773276,0.025668745668745673,0.025696465696465696,2.7720027720022633e-05,0.14050277401062752,0.11179636284999792,-0.028706411160629608,47,34,-13,0.10718960599373122,0.08685525790048046,0.16387618387618388,0.1089050589050589,0.054082486680388474,0.04610692287977355,0.62,1,1,45,31,compas
seed=1,0.2086408527924163,0.208630248476816,1.060431560029329e-05,0.0015244596052015832,0.0014275359252992142,-9.692367990236906e-05,0.037560637560637565,0.038004158004158003,0.00044352044352043846,0.21142516494519878,0.23383530871099378,0.022410143765795004,135,133,-2,0.11976543188638392,0.11006703207674114,0.2667775467775468,0.2413097713097713,0.0704699677068065,0.0665244179195927,0.6441717791411042,8,8,31,29,compas
seed=2,0.20450120587159756,0.2048140222661141,-0.0003128163945165241,0.0008408913254369985,0.00048773325513115493,-0.00035315807030584357,0.025474705474705477,0.024421344421344422,-0.0010533610533610543,0.20579980860843525,0.12904905750009732,-0.07675075110833793,52,24,-28,0.10453288840159287,0.0791990722307909,0.16975051975051975,0.08521829521829521,0.05847765519513531,0.045230367928456514,0.35714285714285715,3,2,35,16,compas
seed=3,0.20811331184837506,0.2076905951898425,0.00042271665853255147,0.0011452230709241551,0.0007797081754657441,-0.00036551489545841103,0.04501732501732502,0.03453915453915454,-0.010478170478170477,0.3604996255687607,0.31449663821355217,-0.046002987355208524,169,129,-40,0.12906241202535118,0.10197473618892719,0.28635481635481635,0.1867890967890968,0.06374077221422318,0.055928974587361686,0.35454545454545455,5,5,44,64,compas
seed=4,0.20113354270971112,0.20143647627815942,-0.00030293356844829367,0.0014160377490167232,0.0008746940784954604,-0.0005413436705212628,0.03221067221067221,0.03099099099099099,-0.0012196812196812214,0.11009710577604725,0.09596702078025166,-0.0141300849957956,20,7,-13,0.14079265603103408,0.10332344167293883,0.27675675675675676,0.1682674982674983,0.07212774717300492,0.0540187730304305,0.2857142857142857,2,0,9,0,compas
seed=5,0.20838615707100752,0.20820872598681364,0.00017743108419387976,0.0012954758779251641,0.0010438665299064276,-0.0002516093480187365,0.034455994455994454,0.03426195426195426,-0.00019404019404019313,0.14054512271984654,0.12665692149188412,-0.013888201227962416,49,51,2,0.12131398845164884,0.10121432479034806,0.23800646800646802,0.18383229383229382,0.0592984184963924,0.05294259384666772,0.4084507042253521,3,4,27,16,compas
seed=6,0.20726448383023857,0.20734233617620795,-7.78523459693814e-05,0.0014550619103630093,0.0011499483142144206,-0.0003051135961485887,0.035287595287595286,0.03531531531531531,2.7720027720022633e-05,0.17500495208159222,0.2029427694172125,0.027937817335620285,97,131,34,0.13111174786725996,0.11213230038075134,0.2802725802725803,0.20996072996072998,0.06605758403454298,0.06301367134540788,0.4430379746835443,6,6,31,42,compas
seed=7,0.21256943170669557,0.21256939186930943,3.9837386139884856e-08,0.0017252316918558433,0.0012050705265677685,-0.0005201611652880748,0.043076923076923075,0.045155925155925154,0.002079002079002079,0.21507824941931467,0.22056673819456488,0.005488488775250211,129,124,-5,0.14242534996941983,0.11373708988318687,0.3369276969276969,0.23045969045969045,0.07558326854067013,0.05705292356305828,0.47953216374269003,5,4,58,60,compas
seed=8,0.2041591887472091,0.20385890171561388,0.00030028703159520886,0.0016416050283828095,0.0013815838498647658,-0.0002600211785180437,0.04352044352044352,0.038198198198198204,-0.005322245322245317,0.29166873546932315,0.257975359856964,-0.03369337561235913,146,138,-8,0.13396782940827576,0.11821418431556678,0.32772695772695776,0.2711711711711712,0.07259815851144448,0.0695102185267456,0.5865921787709497,3,7,101,35,compas
seed=9,0.21098304237168286,0.21115140034261876,-0.0001683579709358951,0.001196447410750343,0.0008838073210090227,-0.0003126400897413204,0.03212751212751213,0.029826749826749824,-0.0023007623007623053,0.14216891995910616,0.13146914548266847,-0.01069977447643769,23,12,-11,0.11897501767990525,0.09490963353683987,0.20586509586509585,0.1417994917994918,0.05859955766149757,0.053505028117038854,0.5217391304347826,2,1,15,10,compas
seed=0,0.15138697021342895,0.14778342434670008,0.003603545866728869,0.0047298404427504655,0.005143264812882156,0.00041342437013169083,0.055999999999999994,0.0562,0.00020000000000000573,0.11613995105838612,0.10487054298359097,-0.01126940807479515,3,3,0,0.24365435544469996,0.23671156491435602,0.5054333333333333,0.45765000000000006,0.13289731823457124,0.11289932376937672,0.5,0,0,0,0,german
seed=1,0.1595453525683669,0.15588318288690498,0.0036621696814619353,0.003995032357600239,0.004494401840478385,0.0004993694828781458,0.076,0.0642,-0.011800000000000005,0.037337464785456555,0.06836462614339296,0.031027161357936407,0,1,1,0.22452306434159064,0.21264306034007024,0.4949666666666667,0.42340000000000005,0.11989824105478494,0.10986932790540081,0.0,0,0,0,0,german
seed=2,0.190700603291938,0.18897172908261953,0.0017288742093184706,0.007885648739390506,0.005936028889869693,-0.0019496198495208127,0.0816,0.06920000000000001,-0.012399999999999994,0.08994892589285827,0.07808404413585879,-0.011864881756999485,3,0,-3,0.294454133928054,0.23942028186756142,0.52615,0.39873333333333333,0.17202613799875963,0.13246373691805938,0.0,0,0,0,0,german
seed=3,0.16446987187208378,0.1630285859548713,0.001441285917212487,0.00423051646735302,0.004020986714008064,-0.00020952975334495583,0.045200000000000004,0.042,-0.0032000000000000015,0.08859574497420546,0.09913499479267084,0.01053924981846538,0,1,1,0.24168160387181645,0.2137398659411324,0.32198333333333334,0.25839999999999996,0.1586786533005279,0.14107164706212041,0.0,0,0,0,0,german
