family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums
GBM,learning_rate,hp_learning_rate,25,25,4,0.3786350147729811,0.41342321841037044,0.5964119972455197,0.33488169107603866
GBM,max_depth,hp_max_depth,25,25,4,0.16838062095795917,0.17321294520104097,0.2716953738980902,0.19092062645537916
GBM,subsample,hp_subsample,25,25,3,0.07482831735924164,0.04970829539730361,0.16250039668225405,0.0752300422113617
GBM,n_estimators,hp_n_estimators,25,25,3,0.062327242285003116,0.05672831496662314,0.10596136684704106,0.056179818938275464
