dataset,seed,tau,n_conflict_hh,conflict_moran_i,jaccard
breast_cancer,0,0.5,0.0,0.0058930140597539555,
breast_cancer,0,0.7,0.0,0.01842723004694838,
breast_cancer,0,"J(0.3,0.5)",,,1.0
breast_cancer,0,"J(0.3,0.7)",,,1.0
breast_cancer,0,"J(0.5,0.7)",,,1.0
breast_cancer,1,0.3,2.0,0.048441814595660715,
breast_cancer,1,0.5,0.0,0.0320962300132023,
breast_cancer,1,0.7,0.0,0.026981998643733445,
breast_cancer,1,"J(0.3,0.5)",,,0.0
breast_cancer,1,"J(0.3,0.7)",,,0.0
breast_cancer,1,"J(0.5,0.7)",,,1.0
breast_cancer,2,0.3,1.0,0.022344257454974915,
breast_cancer,2,0.5,0.0,0.01179744017807455,
breast_cancer,2,0.7,0.0,0.03267815438995139,
breast_cancer,2,"J(0.3,0.5)",,,0.0
breast_cancer,2,"J(0.3,0.7)",,,0.0
breast_cancer,2,"J(0.5,0.7)",,,1.0
breast_cancer,3,0.3,0.0,0.011016049873988593,
breast_cancer,3,0.5,0.0,0.01292094245850413,
breast_cancer,3,0.7,0.0,0.019209025641025647,
breast_cancer,3,"J(0.3,0.5)",,,1.0
breast_cancer,3,"J(0.3,0.7)",,,1.0
breast_cancer,3,"J(0.5,0.7)",,,1.0
breast_cancer,4,0.3,0.0,-0.0013264869490800207,
breast_cancer,4,0.5,0.0,-0.005780346820809249,
breast_cancer,4,0.7,1.0,0.003273809523809529,
breast_cancer,4,"J(0.3,0.5)",,,1.0
breast_cancer,4,"J(0.3,0.7)",,,0.0
breast_cancer,4,"J(0.5,0.7)",,,0.0
breast_cancer,5,0.3,0.0,0.0019960079840319425,
breast_cancer,5,0.5,0.0,-0.016963226571767506,
breast_cancer,5,0.7,0.0,-0.013216388566306055,
breast_cancer,5,"J(0.3,0.5)",,,1.0
breast_cancer,5,"J(0.3,0.7)",,,1.0
breast_cancer,5,"J(0.5,0.7)",,,1.0
breast_cancer,6,0.3,1.0,-0.005175364651186569,
breast_cancer,6,0.5,1.0,0.034360346677274306,
breast_cancer,6,0.7,0.0,0.0005424020662935813,
breast_cancer,6,"J(0.3,0.5)",,,1.0
breast_cancer,6,"J(0.3,0.7)",,,0.0
breast_cancer,6,"J(0.5,0.7)",,,0.0
breast_cancer,7,0.3,0.0,0.06057747695852535,
breast_cancer,7,0.5,0.0,0.04388660221435182,
breast_cancer,7,0.7,0.0,0.019682835820895528,
breast_cancer,7,"J(0.3,0.5)",,,1.0
breast_cancer,7,"J(0.3,0.7)",,,1.0
breast_cancer,7,"J(0.5,0.7)",,,1.0
breast_cancer,8,0.3,0.0,-0.0048797250859106515,
breast_cancer,8,0.5,3.0,0.024282560706401758,
breast_cancer,8,0.7,0.0,0.02312626368263263,
breast_cancer,8,"J(0.3,0.5)",,,0.0
breast_cancer,8,"J(0.3,0.7)",,,1.0
breast_cancer,8,"J(0.5,0.7)",,,0.0
breast_cancer,9,0.3,0.0,-0.004877574815390593,
breast_cancer,9,0.5,0.0,0.020314839545141843,
breast_cancer,9,0.7,0.0,-0.012536873156342183,
breast_cancer,9,"J(0.3,0.5)",,,1.0
breast_cancer,9,"J(0.3,0.7)",,,1.0
breast_cancer,9,"J(0.5,0.7)",,,1.0
