dataset,method,moran_mean,moran_std,hh_mean,hh_std,n_seeds
adult,cosine,0.07886331090375556,0.02169850302199861,410.1,131.37177948267444,10
adult,euclidean,0.07035752442888292,0.020313616800320317,286.1,125.53304124589846,10
adult,pca_15,0.07524626356353534,0.021261958463668428,411.1,145.8747179374594,10
compas,cosine,0.20997756548651875,0.08290245098704523,114.9,50.766239875640885,10
compas,euclidean,0.19927904585582523,0.0772270346034335,86.7,55.00111109988799,10
compas,pca_15,0.19801593505332665,0.07586859756227796,82.2,50.07061679934318,10
german,cosine,0.11233984855139892,0.043307949307098456,6.2,4.779586221049312,10
german,euclidean,0.10415478446159013,0.03969504905166441,2.7,2.2135943621178655,10
german,pca_15,0.098328567869267,0.03989655551259321,3.0,2.211083193570267,10
