hyperparameter,mean_var_between_ratio,ratio_of_sums,median_ratio,p90_ratio,mean_var_within_ratio,n_values,n_groups,n_models_total,n_models_used
C,0.7682835636498998,0.8647793772248757,0.8542873933593733,0.9940748906841854,0.2317164363501006,10,10,25,25
l1_ratio,0.0939178142457572,0.04976719958760284,0.0721485965468454,0.18879821691273405,0.9060821857542419,5,5,25,25
