family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums
RF,max_depth,hp_max_depth,25,24,4,0.515972377661592,0.6125348084156439,0.8826527410468489,0.5590066999936996
RF,min_samples_split,hp_min_samples_split,25,25,3,0.09481174811301138,0.10760517643133691,0.1632625387331313,0.10510589139135988
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.06698026192564678,0.05640289932490429,0.1351181713845937,0.05920777532862944
RF,max_features,hp_max_features,25,20,2,0.03635749578024311,0.03129948265279409,0.06504108670356892,0.03284508344046252
RF,n_estimators,hp_n_estimators,25,25,3,0.02260619105686826,0.015446047032092004,0.053438877191654265,0.019369947761162163
