factor,n_models_total,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,subset
model_name,125,125,5,0.3359707559102341,0.3237663839059551,0.5923389461410864,0.3885535703253738,ALL
model_name,125,125,5,0.4601548763934251,0.5101466885553656,0.6762891792390515,0.49678033244628145,HH
model_name,125,125,5,0.3241930510085658,0.3094617154183373,0.5731210250873391,0.3713048784084433,nonHH
