hyperparameter,mean_var_between_ratio,ratio_of_sums,median_ratio,p90_ratio,mean_var_within_ratio,n_values,n_groups,n_models_total,n_models_used
alpha,0.23680871501986775,0.2503573856165756,0.21940260256356223,0.4152698953173612,0.7631912849801323,4,4,25,25
learning_rate_init,0.1412068466324404,0.18854445840590717,0.11552541010013555,0.31314923207856726,0.8587931533675597,3,3,25,25
hidden_layer_sizes,0.1368558469248814,0.1402044874560796,0.1195886641207787,0.26795645363274245,0.8631441530751187,5,5,25,25
activation,0.054975971927716104,0.057733384300118984,0.02343673359029126,0.12954619950280155,0.9450240280722839,2,2,25,25
