dataset,n_runs,obs_mean_moran,obs_std_moran,null_mean_moran,null_std_moran,p_internal_mean,p_empirical_mean_moran,frac_sig_moran,obs_mean_hh,obs_std_hh,null_mean_hh,null_std_hh,p_empirical_mean_hh,frac_sig_hh
breast_cancer,10,0.031546828997908664,0.020718642815978978,-0.008812248756998915,0.017503064687610703,0.048100000000000004,0.07029702970297029,0.7,1.6,2.9888682361946524,0.156,1.2111309779325377,0.7069306930693069,0.3
compas,10,0.19927904585582523,0.0772270346034335,-0.0003377195288288675,0.006227257745933451,0.001,0.009900990099009901,1.0,86.7,55.00111109988799,0.0,0.0,0.009900990099009901,1.0
german,10,0.10415478446159013,0.03969504905166441,-0.005480941908170528,0.014561587144110535,0.0015,0.009900990099009901,1.0,2.7,2.2135943621178655,0.0,0.0,0.3069306930693069,0.7
