hyperparameter,mean_var_between_ratio,ratio_of_sums,median_ratio,p90_ratio,mean_var_within_ratio,n_values,n_groups,n_models_total,n_models_used
learning_rate,0.3322117829038277,0.33733089951866296,0.3294883419160459,0.577682527601053,0.6677882170961722,4,4,25,25
max_depth,0.2722102808412861,0.25814358907128254,0.22405170005191907,0.5759240455844679,0.7277897191587139,4,4,25,25
subsample,0.10578616250967465,0.08882035070311653,0.07921394213403897,0.2414183286190013,0.8942138374903253,3,3,25,25
n_estimators,0.07147406847262502,0.06584938523216798,0.06183085076169353,0.14082004195009434,0.9285259315273751,3,3,25,25
