Family,Moran's I,HH count,Mean variance,n_models
GBM,0.1850692553439047,66,0.0010328786577309503,25
LogReg,0.06820139526292572,4,5.554818627364627e-06,25
MLP,0.518295443589438,212,0.001066348813705316,25
RF,0.16049020825746463,68,0.003053250572771999,25
kNN,0.07291256770528069,69,0.011417982531304143,25
