family,n_models,hv_count,hh_count,overlap_count,mean_var,moran_I,moran_p
LogReg,25,145,4,4,5.786269403504819e-06,0.12372882665752195,0.001
kNN,25,145,22,9,0.011893731803441816,0.11484031745421905,0.001
RF,25,145,71,48,0.003180469346637499,0.2517148947950477,0.001
GBM,25,145,41,31,0.00107591526846974,0.21848053379215013,0.001
MLP,25,145,181,105,0.0011107800142763707,0.6285247657259113,0.001
